"Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","FSI (Year+1)"
"Australia","2007",23.2,1.761237,1.3692,0.9287898,8.6,0.912,7.285,8.06755352,40960.0544948199,4.38,24.6
"Australia","2008",24.6,1.770851,1.368076,0.9556448,8.7,0.926,7.254,8.25585651,49601.6567082178,4.23,27.3
"Australia","2010",27.3,1.764987,1.419766,0.8888599,8.7,0.93,7.45,8.4308424,52022.1255961876,5.21,28.1
"Australia","2011",28.1,1.742514,1.453721,0.9357101,8.84,0.932,7.406,8.54153824,62517.8337471503,5.08,29.2
"Australia","2012",29.2,1.766858,1.49919,0.9979972,85,0.937,7.196,8.67564774,68012.1479005934,5.22,25.4
"Australia","2013",25.4,1.778535,1.436414,1.031073,81,0.931,7.364,8.76116371,68150.1070413215,5.66,26.3
"Australia","2014",26.3,1.923046,1.361716,1.032192,80,0.933,7.289,9.03597069,62510.7911705641,6.08,24.3
"Australia","2015",24.3,1.825073,1.355591,0.8849798,79,0.938,7.309,9.32331181,56755.7217124249,6.05,22.5
"Australia","2016",22.5,1.755667,1.353702,1.047958,79,0.939,7.25,9.20071316,49971.131456129,5.71,22.3
"Australia","2017",22.3,1.686461,1.375636,0.8960608,77,0.941,7.257,9.20544815,54027.9668184568,5.59,20.8
"Australia","2018",20.8,1.715382,1.380593,0.989604,77,0.943,7.177,9.28459835,57354.9640455891,5.3,19.7
"Austria","2006",26.1,1.913557,1.372685,1.075933,8.6,0.87,7.122,9.5311327,40635.2818159724,5.24,25.9
"Austria","2008",25.9,1.922995,1.358464,1.339206,8.1,0.893,7.181,9.72564602,51708.7657541758,4.13,27.2
"Austria","2010",27.2,1.808519,1.430291,1.152648,7.9,0.904,7.303,10.22101879,46858.0432733717,4.82,27.3
"Austria","2011",27.3,1.808492,1.402444,1.193522,7.79,0.906,7.471,10.02613258,51374.9584066934,4.56,27.5
"Austria","2012",27.5,1.864357,1.448773,1.340567,69,0.908,7.401,10.19915581,48567.69528642,4.87,26.9
"Austria","2013",26.9,1.84264,1.456567,1.364101,69,0.905,7.499,10.28574944,50716.7087062864,5.34,28.5
"Austria","2014",28.5,1.942881,1.391321,1.2707,72,0.913,6.95,10.36809254,51717.4959405515,5.62,25.8
"Austria","2015",25.8,1.849107,1.383533,1.143079,76,0.915,7.076,10.36746693,44178.0473777432,5.72,27.5
"Austria","2016",27.5,1.800264,1.337481,0.9096388,75,0.917,7.048,10.3522625,45276.8314351693,6.01,27.7
"Austria","2017",27.7,1.84235,1.385913,1.046833,75,0.919,7.294,10.38262367,47309.3662735282,5.5,26.2
"Austria","2018",26.2,1.896155,1.387745,0.902334,76,0.921,7.396,10.32559872,51453.1470238016,4.85,25
"Belgium","2007",25.5,1.330672,1.360771,0.7574292,7.1,0.907,7.219,9.16709423,44262.8960009954,7.46,29
"Belgium","2008",29,1.345495,1.324988,0.6212433,7.3,0.906,7.117,9.63237667,48106.892915788,6.98,32
"Belgium","2010",32,1.424744,1.360687,0.8106462,7.1,0.91,6.854,10.23373413,44141.8781415734,8.29,34.1
"Belgium","2011",34.1,1.443449,1.325163,0.9545354,7.49,0.911,7.111,10.39215851,47348.5250202016,7.14,33.5
"Belgium","2012",33.5,1.455392,1.349422,0.9235997,75,0.913,6.935,10.50683689,44673.1158755901,7.54,30.9
"Belgium","2013",30.9,1.464392,1.373046,0.9400827,75,0.916,7.104,10.56154251,46744.6625441516,8.43,32
"Belgium","2014",32,1.551951,1.366339,0.7012694,76,0.918,6.855,10.44007111,47700.5403601178,8.52,30.5
"Belgium","2015",30.5,1.488841,1.38744,0.5870946,77,0.922,6.904,10.42703342,40991.8081381432,8.48,29
"Belgium","2016",29,1.429943,1.377026,0.4413673,77,0.924,6.949,10.28172588,41984.1030335609,7.83,30.8
"Belgium","2017",30.8,1.358459,1.338482,0.4281858,75,0.929,6.928,10.40608311,44089.3100875118,7.09,29.7
"Belgium","2018",29.7,1.376737,1.318997,0.4023501,75,0.93,6.892,10.31865311,47554.7463078937,5.95,28.6
"Bulgaria","2007",60.3,-0.0459552,0.6909354,0.3582801,4.1,0.773,3.844,6.16035938,5885.10434781837,6.88,61.2
"Bulgaria","2010",61.2,-0.0888702,0.5314857,0.3600911,3.6,0.788,3.912,7.14063406,6812.40633845402,10.28,59
"Bulgaria","2011",59,-0.1283149,0.4500802,0.3017503,3.33,0.791,3.875,7.14162683,7809.42506245471,11.26,56.3
"Bulgaria","2012",56.3,-0.1037946,0.4009156,0.379834,41,0.795,4.222,7.57881832,7395.84980340721,12.27,55
"Bulgaria","2013",55,-0.1302277,0.3372708,0.1707104,41,0.801,3.993,7.1707921,7655.12970759319,12.94,54.4
"Bulgaria","2014",54.4,-0.0763632,0.366463,0.0785409,43,0.806,4.438,7.7096777,7876.86646539994,11.42,55.4
"Bulgaria","2015",55.4,-0.1256403,0.432573,0.0173222,41,0.809,4.865,7.41338348,7055.93567291245,9.14,53.7
"Bulgaria","2016",53.7,-0.1051676,0.4021857,0.0773333,41,0.811,4.838,7.4799428,7548.85500737534,7.58,53.7
"Bulgaria","2017",53.7,-0.0883203,0.4298145,0.3320499,43,0.811,5.097,7.45326805,8334.08172775332,6.16,51.7
"Bulgaria","2018",51.7,-0.0698142,0.3566663,0.4562779,42,0.813,5.099,7.34667873,9427.73043039881,5.21,50.6
"Canada","2007",25.1,1.814706,1.384672,1.006867,8.7,0.896,7.482,9.43898201,44659.8951408034,6.04,26.3
"Canada","2008",26.3,1.80829,1.407529,1.04185,8.7,0.898,7.486,9.59853268,46710.5055759013,6.14,27.7
"Canada","2009",27.7,1.804082,1.401846,1.126739,8.7,0.898,7.488,10.70911217,40876.3101540295,8.34,27.9
"Canada","2010",27.9,1.805736,1.352596,0.9363182,8.9,0.901,7.65,10.6837883,47562.0834253057,8.06,27.7
"Canada","2011",27.7,1.736465,1.380145,1.077176,8.67,0.903,7.426,10.33907032,52223.696112356,7.51,26.8
"Canada","2012",26.8,1.763494,1.437505,1.113016,84,0.906,7.415,10.42859364,52669.0899632316,7.29,26
"Canada","2013",26,1.755872,1.453487,1.061422,81,0.913,7.594,10.34045982,52635.1749580433,7.07,27.4
"Canada","2014",27.4,1.890623,1.41236,1.175504,81,0.918,7.304,10.25013065,50955.9983232404,6.91,25.6
"Canada","2015",25.6,1.84192,1.467126,1.274698,83,0.921,7.413,10.68328094,43596.1355365546,6.91,23.8
"Canada","2016",23.8,1.841268,1.445155,1.256059,82,0.923,7.245,10.97903442,42315.6037056806,7,22.6
"Canada","2017",22.6,1.806023,1.477724,1.102063,82,0.926,7.415,10.78964806,45129.3564395662,6.34,21.5
"Canada","2018",21.5,1.756561,1.490146,0.9791259,81,0.928,7.175,10.79046917,46454.7433947203,5.83,20
"Croatia","2007",60.5,0.0876414,0.517976,0.6047199,4.1,0.808,5.821,7.46290779,13937.448387519,9.91,60.1
"Croatia","2009",60.1,0.1621467,0.4862779,0.6115873,4.1,0.812,5.433,8.17594814,14540.6416034433,9.2,59
"Croatia","2010",59,0.2019625,0.4764283,0.6084636,4.1,0.815,5.596,8.10364056,13949.3264974977,11.62,57.3
"Croatia","2011",57.3,0.2178908,0.5210824,0.6237471,4.03,0.823,5.385,7.79134035,14609.5243524166,13.68,56.3
"Croatia","2012",56.3,0.2455959,0.5408306,0.6068915,46,0.825,6.028,7.7956953,13258.3598451041,15.94,54.1
"Croatia","2013",54.1,0.2774972,0.5137413,0.6426679,48,0.83,5.885,6.53333521,13674.4178049999,17.25,52.9
"Croatia","2014",52.9,0.3045185,0.5149403,0.6191124,48,0.835,5.381,6.69970798,13599.4097770608,17.29,51
"Croatia","2015",51,0.18684,0.5555071,0.590728,51,0.84,5.205,6.78635979,11781.7347932429,16.18,52.4
"Croatia","2016",52.4,0.3843882,0.5253699,0.6637695,49,0.841,5.417,6.82976627,12361.4838303671,13.1,50.6
"Croatia","2017",50.6,0.3588388,0.4791637,0.6920319,49,0.845,5.343,6.77827311,13451.6249479152,11.21,48.7
"Croatia","2018",48.7,0.352705,0.4375764,0.8028065,48,0.848,5.536,6.82702351,15014.0850191716,8.43,47.5
"Cyprus","2006",70.5,1.105021,1.052067,0.5397544,5.6,0.842,6.238,5.46357489,26729.3234045802,4.54,68.9
"Cyprus","2009",68.9,1.212835,1.068028,0.3891754,6.6,0.862,6.833,6.46531582,32109.2425148579,5.36,68
"Cyprus","2010",68,1.216268,1.023391,0.4524448,6.3,0.856,6.387,6.51767111,31023.6383309791,6.26,67.6
"Cyprus","2011",67.6,1.072972,1.053583,0.6079845,6.27,0.86,6.69,6.44928503,32396.3857437121,7.86,66.8
"Cyprus","2012",66.8,1.099575,1.022024,0.6351261,66,0.859,6.181,6.55474567,28912.1569390403,11.8,67
"Cyprus","2013",67,1.036493,0.9808227,0.5633472,63,0.86,5.439,6.94518471,27729.1926990735,15.87,67.9
"Cyprus","2014",67.9,1.076946,1.01997,0.5518821,63,0.862,5.627,6.9609561,27163.3329657606,16.09,66.2
"Cyprus","2015",66.2,1.039793,1.031584,0.5508665,61,0.865,5.439,6.92568588,23408.3366816249,14.91,64
"Cyprus","2016",64,0.7213519,1.04664,0.6042547,55,0.873,5.795,6.83423901,24605.9208328767,12.95,62.6
"Cyprus","2017",62.6,0.8882236,1.056237,0.5378655,57,0.878,6.062,6.73828936,26444.0743777801,11.05,60.3
"Cyprus","2018",60.3,0.7535621,1.005624,0.491743,59,0.885,6.276,6.76976299,29089.4713273857,8.37,57.8
"Denmark","2007",22.2,2.01373,1.477704,1.117682,9.4,0.911,7.834,9.3251543,58487.0549677696,3.8,21.5
"Denmark","2008",21.5,1.966503,1.538306,1.065299,9.3,0.917,7.971,9.51134396,64322.0635020842,3.68,23.2
"Denmark","2009",23.2,1.924757,1.538261,1.000632,9.3,0.914,7.683,10.67432022,58163.2768762815,6.41,22.9
"Denmark","2010",22.9,1.905866,1.541957,1.040961,9.3,0.917,7.771,10.33315945,58041.3984363385,7.75,23.8
"Denmark","2011",23.8,1.929628,1.551707,1.100293,9.39,0.93,7.788,10.15291023,61753.647131977,7.77,23
"Denmark","2012",23,1.882329,1.674114,0.9149107,90,0.931,7.52,10.24135303,58507.5080517852,7.8,21.9
"Denmark","2013",21.9,1.911077,1.666271,0.9592335,91,0.933,7.589,10.16958141,61191.1937042028,7.38,22.8
"Denmark","2014",22.8,2.105698,1.524577,0.9517797,92,0.935,7.508,10.17190456,62548.9847332908,6.93,21.4
"Denmark","2015",21.4,2.05181,1.552826,0.8976498,91,0.933,7.514,10.22716618,53254.8563700916,6.28,21.5
"Denmark","2016",21.5,1.924276,1.541422,0.8679155,90,0.935,7.558,10.14456177,54663.9983719195,5.99,21.5
"Denmark","2017",21.5,1.847278,1.517764,0.8684149,88,0.936,7.594,10.03963375,57610.0981801135,5.83,19.8
"Denmark","2018",19.8,1.815461,1.561593,0.9462506,88,0.939,7.649,10.0707159,61598.5367043936,5.13,19.5
"Estonia","2006",51,1.1409,1.068222,0.7364985,6.7,0.839,5.371,4.76530361,12631.5680518102,5.92,50.5
"Estonia","2007",50.5,1.173005,1.073011,0.6338796,6.5,0.846,5.332,4.98330879,16741.9392266596,4.59,51
"Estonia","2008",51,1.199121,1.091653,0.5707842,6.6,0.848,5.452,5.71032381,18227.1195304476,5.46,51.2
"Estonia","2009",51.2,1.131253,1.085522,0.5657759,6.6,0.846,5.138,6.51218891,14794.9711049549,13.55,49.3
"Estonia","2011",49.3,1.183756,1.133726,0.6110413,6.35,0.86,5.487,5.76757813,17624.0445588254,12.33,47.5
"Estonia","2012",47.5,1.157049,1.111925,0.6364652,64,0.865,5.364,5.79034519,17534.421349913,10.02,45.3
"Estonia","2013",45.3,1.198388,1.116849,0.7482154,68,0.869,5.367,5.97791481,19174.1003261509,8.63,45.2
"Estonia","2014",45.2,1.372824,1.17031,0.7802579,69,0.871,5.556,6.08077621,20367.103161316,7.35,43.7
"Estonia","2015",43.7,1.331785,1.186864,0.6209198,70,0.877,5.629,6.34629202,17522.230186252,6.19,43.4
"Estonia","2016",43.4,1.226433,1.208047,0.6739078,70,0.881,5.65,6.42956781,18437.2528207173,6.76,44.7
"Estonia","2017",44.7,1.285828,1.214439,0.6497754,71,0.885,5.938,6.59183788,20407.9273809157,5.76,43
"Estonia","2018",43,1.240728,1.179301,0.5873927,73,0.889,6.091,6.6878767,23159.3924948461,5.37,40.8
"Finland","2006",18.2,1.973505,1.494072,1.501351,9.6,0.912,7.672,8.2841177,41188.0936997302,7.72,18.4
"Finland","2008",18.4,1.922676,1.463081,1.445845,9,0.917,7.671,8.34310627,53554.0389224673,6.37,19.3
"Finland","2010",19.3,1.968747,1.486713,1.423607,9.2,0.916,7.393,9.14202785,46459.9732548543,8.39,19.7
"Finland","2011",19.7,1.949425,1.507551,1.393471,9.4,0.92,7.354,9.22303009,51081.9976703127,7.78,20
"Finland","2012",20,1.951405,1.600697,1.400765,90,0.921,7.42,9.5857954,47710.7902169415,7.69,18
"Finland","2013",18,1.964584,1.573706,1.385172,89,0.928,7.445,9.80534649,49878.0432444536,8.19,18.7
"Finland","2014",18.7,2.129668,1.541917,1.282197,89,0.928,7.385,9.78115082,50260.2998588958,8.66,17.7
"Finland","2015",17.7,2.089484,1.543586,1.040587,90,0.93,7.448,9.64523888,42784.6983616432,9.38,18.8
"Finland","2016",18.8,2.049946,1.531794,0.9990865,89,0.932,7.66,9.37796021,43784.2839622098,8.82,18.7
"Finland","2017",18.7,2.069357,1.559358,1.080909,85,0.935,7.788,9.14156628,46297.4963459994,8.64,17.9
"Finland","2018",17.9,2.079443,1.576928,0.908359,85,0.937,7.858,9.037323,50013.2942027626,7.36,16.9
"France","2006",34.3,1.474472,1.298723,0.5970889,7.4,0.871,6.583,10.39308834,36443.6263055433,8.45,34.8
"France","2008",34.8,1.507125,1.304794,0.54572,6.9,0.875,7.008,10.51212215,45334.117956922,7.06,35.3
"France","2009",35.3,1.452676,1.244509,0.5117519,6.9,0.876,6.283,11.29670525,41575.4219609625,8.74,34.9
"France","2010",34.9,1.506714,1.202857,0.6810876,6.8,0.879,6.798,11.24011326,40638.3352541414,8.87,34
"France","2011",34,1.438322,1.170668,0.6029928,7.01,0.882,6.959,11.20183182,43790.7260166781,8.81,33.6
"France","2012",33.6,1.443496,1.238106,0.5549415,71,0.885,6.649,11.31324291,40874.7003927338,9.4,32.6
"France","2013",32.6,1.409796,1.219247,0.4487441,71,0.889,6.667,11.43607998,42592.9353850549,9.92,34.8
"France","2014",34.8,1.456656,1.21816,0.3005685,69,0.893,6.467,11.58073521,43011.2631028417,10.29,33.7
"France","2015",33.7,1.398506,1.206641,0.1067064,70,0.895,6.358,11.46616745,36638.184929157,10.35,34.5
"France","2018",32.2,1.434449,1.146513,0.0291557,72,0.898,6.666,11.25789452,41526.4146584125,9.02,32
"Germany","2007",38.4,1.772996,1.336478,0.9960085,7.8,0.921,6.417,10.05104923,41587.2128984264,8.66,37.3
"Germany","2008",37.3,1.745706,1.336778,0.9458345,7.9,0.924,6.522,10.2510128,45427.151677489,7.53,36.2
"Germany","2009",36.2,1.655951,1.334962,0.8605308,8,0.924,6.641,11.23758507,41485.9016495139,7.74,35.4
"Germany","2010",35.4,1.64464,1.297783,0.7968345,7.9,0.927,6.725,11.0968647,41531.9341978689,6.97,33.9
"Germany","2011",33.9,1.627287,1.349211,0.8422185,8.05,0.933,6.621,10.77629662,46644.776027968,5.82,31.7
"Germany","2012",31.7,1.676166,1.393738,0.7756213,79,0.934,6.702,10.84700775,43858.3630551076,5.38,29.7
"Germany","2013",29.7,1.650206,1.406184,0.9279839,78,0.935,6.965,10.99187183,46285.7640688407,5.23,30.6
"Germany","2014",30.6,1.854514,1.43633,0.9251865,79,0.937,6.984,11.01583958,47959.9932737599,4.98,28.1
"Germany","2015",28.1,1.794228,1.421997,0.6998243,81,0.938,7.037,11.17801952,41086.7296737253,4.62,28.6
"Germany","2016",28.6,1.621759,1.364375,0.6813634,81,0.941,6.874,11.23043633,42107.5172703074,4.12,28.1
"Germany","2017",28.1,1.614979,1.432262,0.5877215,81,0.943,7.074,11.32229614,44442.7718397577,3.75,25.8
"Germany","2018",25.8,1.631583,1.431259,0.5912753,80,0.946,7.118,11.42995071,47787.1605074447,3.38,24.7
"Greece","2007",43.5,0.8723755,0.9838739,0.5241894,4.6,0.857,6.647,8.39808178,28827.3263926878,8.4,46.1
"Greece","2009",46.1,0.6528149,0.8914437,-0.2077363,3.8,0.867,6.039,9.40688515,29710.970232488,9.62,45.9
"Greece","2010",45.9,0.5898624,0.8977181,-0.1272069,3.5,0.865,5.84,9.51564121,26690.6074159782,12.71,47.4
"Greece","2011",47.4,0.5396303,0.820455,-0.0986952,3.39,0.862,5.372,9.02808571,25450.5341194438,17.87,50.4
"Greece","2012",50.4,0.3931225,0.7007905,-0.2172487,36,0.865,5.096,8.79238129,21915.1913231364,24.44,50.6
"Greece","2013",50.6,0.4721287,0.6872375,-0.1713417,40,0.867,4.72,8.31875896,21749.1524824445,27.47,52.1
"Greece","2014",52.1,0.3739754,0.6187572,-0.140446,43,0.875,4.756,7.84993553,21601.7763985974,26.49,52.6
"Greece","2015",52.6,0.2769418,0.6515436,-0.2302524,46,0.877,5.623,8.01678371,18050.0976100746,24.9,55.9
"Greece","2016",55.9,0.1353244,0.6685553,-0.1215992,44,0.874,5.303,8.21496582,17885.3928086126,23.54,57.5
"Greece","2017",57.5,0.0749528,0.658486,-0.0735726,48,0.879,5.148,7.96522522,18562.2294309576,21.49,55.3
"Greece","2018",55.3,0.13928,0.7323087,0.1659438,45,0.881,5.409,7.71544075,19765.9964536083,19.29,53.9
"Hungary","2007",51.2,0.9641744,1.041056,0.747174,5.3,0.818,4.954,7.21529293,13918.9601910137,7.41,50.7
"Hungary","2009",50.7,0.7964902,0.909685,0.5356742,5.1,0.828,4.895,7.2392807,13046.4810081848,10.03,50.1
"Hungary","2010",50.1,0.7787541,0.8942028,0.6857837,4.7,0.831,4.725,7.5076437,13191.6212644696,11.17,48.7
"Hungary","2011",48.7,0.7634746,0.8369731,0.7432541,4.56,0.828,4.918,7.52545595,14216.1656114334,11.03,48.3
"Hungary","2012",48.3,0.6163493,0.7493677,0.6757948,55,0.831,4.683,7.44883251,12950.6865153085,11,47.6
"Hungary","2013",47.6,0.588275,0.7371929,0.7966461,54,0.839,4.914,7.24911928,13687.5140593304,10.18,48.3
"Hungary","2014",48.3,0.509783,0.5532663,0.6699048,54,0.838,5.181,7.07047558,14267.0121547683,7.73,49.1
"Hungary","2015",49.1,0.4073128,0.5599742,0.7462977,51,0.842,5.344,6.88948917,12706.8912148924,6.81,52.7
