"","Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","FSI (Year+4)"
"1","Australia","2007",23.2,1.761237,1.3692,0.9287898,8.6,0.912,7.285,8.06755352,40960.0544948199,4.38,29.2
"2","Australia","2008",24.6,1.770851,1.368076,0.9556448,8.7,0.926,7.254,8.25585651,49601.6567082178,4.23,25.4
"3","Australia","2010",27.3,1.764987,1.419766,0.8888599,8.7,0.93,7.45,8.4308424,52022.1255961876,5.21,26.3
"4","Australia","2011",28.1,1.742514,1.453721,0.9357101,8.84,0.932,7.406,8.54153824,62517.8337471503,5.08,24.3
"5","Australia","2012",29.2,1.766858,1.49919,0.9979972,85,0.937,7.196,8.67564774,68012.1479005934,5.22,22.5
"6","Australia","2013",25.4,1.778535,1.436414,1.031073,81,0.931,7.364,8.76116371,68150.1070413215,5.66,22.3
"7","Australia","2014",26.3,1.923046,1.361716,1.032192,80,0.933,7.289,9.03597069,62510.7911705641,6.08,20.8
"8","Australia","2015",24.3,1.825073,1.355591,0.8849798,79,0.938,7.309,9.32331181,56755.7217124249,6.05,19.7
"9","Austria","2006",26.1,1.913557,1.372685,1.075933,8.6,0.87,7.122,9.5311327,40635.2818159724,5.24,27.5
"10","Austria","2008",25.9,1.922995,1.358464,1.339206,8.1,0.893,7.181,9.72564602,51708.7657541758,4.13,26.9
"11","Austria","2010",27.2,1.808519,1.430291,1.152648,7.9,0.904,7.303,10.22101879,46858.0432733717,4.82,28.5
"12","Austria","2011",27.3,1.808492,1.402444,1.193522,7.79,0.906,7.471,10.02613258,51374.9584066934,4.56,25.8
"13","Austria","2012",27.5,1.864357,1.448773,1.340567,69,0.908,7.401,10.19915581,48567.69528642,4.87,27.5
"14","Austria","2013",26.9,1.84264,1.456567,1.364101,69,0.905,7.499,10.28574944,50716.7087062864,5.34,27.7
"15","Austria","2014",28.5,1.942881,1.391321,1.2707,72,0.913,6.95,10.36809254,51717.4959405515,5.62,26.2
"16","Austria","2015",25.8,1.849107,1.383533,1.143079,76,0.915,7.076,10.36746693,44178.0473777432,5.72,25
"17","Belgium","2007",25.5,1.330672,1.360771,0.7574292,7.1,0.907,7.219,9.16709423,44262.8960009954,7.46,33.5
"18","Belgium","2008",29,1.345495,1.324988,0.6212433,7.3,0.906,7.117,9.63237667,48106.892915788,6.98,30.9
"19","Belgium","2010",32,1.424744,1.360687,0.8106462,7.1,0.91,6.854,10.23373413,44141.8781415734,8.29,32
"20","Belgium","2011",34.1,1.443449,1.325163,0.9545354,7.49,0.911,7.111,10.39215851,47348.5250202016,7.14,30.5
"21","Belgium","2012",33.5,1.455392,1.349422,0.9235997,75,0.913,6.935,10.50683689,44673.1158755901,7.54,29
"22","Belgium","2013",30.9,1.464392,1.373046,0.9400827,75,0.916,7.104,10.56154251,46744.6625441516,8.43,30.8
"23","Belgium","2014",32,1.551951,1.366339,0.7012694,76,0.918,6.855,10.44007111,47700.5403601178,8.52,29.7
"24","Belgium","2015",30.5,1.488841,1.38744,0.5870946,77,0.922,6.904,10.42703342,40991.8081381432,8.48,28.6
"25","Bulgaria","2007",60.3,-0.0459552,0.6909354,0.3582801,4.1,0.773,3.844,6.16035938,5885.10434781837,6.88,55
"26","Bulgaria","2010",61.2,-0.0888702,0.5314857,0.3600911,3.6,0.788,3.912,7.14063406,6812.40633845402,10.28,54.4
"27","Bulgaria","2011",59,-0.1283149,0.4500802,0.3017503,3.33,0.791,3.875,7.14162683,7809.42506245471,11.26,55.4
