"Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","Aid per capita","FSI (Year+1)","Fragility_Category (Year+1)"
"Algeria","2010",81.3,-0.7849345,-1.022338,-1.259368,2.9,0.721,5.464,5.11716986,4480.78743864927,9.96,5.59378150497655,78,"Elevated Warning"
"Algeria","2011",78,-0.8076254,-1.004121,-1.360561,2.9,0.728,5.317,5.26748085,5455.67902952706,9.96,5.27393404763654,78.1,"Elevated Warning"
"Algeria","2012",78.1,-0.7722415,-0.9060266,-1.325043,34,0.728,5.605,6.00050974,5592.22011465753,10.97,3.94073414665011,78.8,"Elevated Warning"
"Algeria","2014",78.8,-0.7732704,-0.8151981,-1.190535,36,0.736,6.355,6.54721403,5493.05666265351,10.21,4.12653588008382,78.3,"Elevated Warning"
"Algeria","2016",78.3,-0.8576039,-0.8628893,-1.097526,34,0.743,5.341,6.60778189,3946.45242459305,10.2,3.56461207704252,76.8,"Elevated Warning"
"Algeria","2017",76.8,-0.8636625,-0.9040661,-0.9157991,33,0.745,5.249,6.38032866,4109.70344220826,12,4.22042712608328,75.8,"Elevated Warning"
"Algeria","2018",75.8,-0.7409661,-1.000405,-0.8361196,35,0.746,5.043,6.2184267,4153.95623446741,11.89,3.42257692549666,75.4,"Elevated Warning"
"Argentina","2006",40.8,-0.568944,0.4034365,0.0030557,2.9,0.812,6.313,7.64032841,5919.01233837714,10.08,2.90685567662451,41.4,"Stable"
"Argentina","2007",41.4,-0.5916041,0.4486213,0.0988585,2.9,0.817,6.073,7.83455086,7245.44685667197,8.47,2.27369505159089,41.4,"Stable"
"Argentina","2008",41.4,-0.6766081,0.3588959,-0.0852222,2.9,0.821,5.961,8.1826973,9020.87332314274,7.84,3.11924901902375,44.7,"Stable"
"Argentina","2009",44.7,-0.6754778,0.2800475,-0.2324056,2.9,0.821,6.424,9.45599556,8225.13758261645,8.65,2.86615646411532,45.8,"Stable"
"Argentina","2010",45.8,-0.5904954,0.3616894,-0.0847979,2.9,0.829,6.441,9.44546413,10385.9644319555,7.71,3.19477665795744,46.8,"Stable"
"Argentina","2011",46.8,-0.5608633,0.3449418,0.1589937,3,0.835,6.776,9.41819859,12848.8641969705,7.18,2.35207218769264,46.5,"Stable"
"Argentina","2012",46.5,-0.6796466,0.2952099,0.1030405,35,0.834,6.468,9.82726669,13082.664325572,7.22,4.25943115043237,46.1,"Stable"
"Argentina","2013",46.1,-0.7077284,0.2769879,0.0653143,34,0.835,6.582,9.78097916,13080.2547323367,7.1,0.822928536658322,47.3,"Stable"
"Argentina","2014",47.3,-0.8861388,0.3453205,-0.0051219,34,0.836,6.671,9.67129993,12334.7982453893,7.27,1.1434397149141,47.6,"Stable"
"Argentina","2015",47.6,-0.7708783,0.4117875,0.0147854,32,0.84,6.697,10.22933769,13789.060424772,7.61,-0.437494568163978,48.4,"Stable"
"Argentina","2016",48.4,-0.3937469,0.4933509,0.2046255,36,0.839,6.427,9.00189686,12790.2424732447,7.97,0.0601050187408163,48.2,"Stable"
"Argentina","2017",48.2,-0.2492861,0.5286481,0.1695043,39,0.843,6.039,10.45704365,14613.041824658,8.35,-0.0265638546407807,46.1,"Stable"
"Argentina","2018",46.1,-0.2436714,0.5323461,0.0108914,40,0.842,5.793,9.62454033,11633.4980086503,9.22,1.64312437096951,46,"Stable"
"Bahrain","2009",59,0.5172865,-0.7910007,-0.1364494,5.1,0.798,5.701,4.05684614,19355.9210050895,1.13,NA,58.8,"Less Stable"
"Bahrain","2010",58.8,0.435536,-0.9659101,-0.4934764,4.9,0.8,5.937,3.84291482,20722.0704900745,1.13,NA,59,"Less Stable"
"Bahrain","2011",59,0.3522793,-1.217317,-0.9508419,5.11,0.801,4.824,3.57691312,22514.202716483,1.18,NA,62.2,"Warning"
"Bahrain","2012",62.2,0.2583265,-1.318025,-1.129955,51,0.808,5.027,4.10642147,23654.3695877495,1.2,NA,62.9,"Warning"
"Bahrain","2013",62.9,0.3310097,-1.317464,-1.335418,48,0.815,6.69,4.30853891,24744.296958551,1.22,NA,64.7,"Warning"
"Bahrain","2014",64.7,0.4136364,-1.311063,-0.9074749,49,0.82,6.165,4.40681839,24989.437527708,1.27,NA,64.4,"Warning"
"Bahrain","2015",64.4,0.4249487,-1.313066,-1.07354,51,0.848,6.007,4.97506618,22634.0856475674,1.32,NA,63.4,"Warning"
"Bahrain","2016",63.4,0.4563531,-1.372085,-0.7934257,43,0.853,6.17,4.85823059,22608.4525623673,1.38,NA,64.9,"Warning"
"Bahrain","2017",64.9,0.4492349,-1.387303,-0.9615637,36,0.854,6.227,4.74813128,23742.9373424159,1.44,NA,63.8,"Warning"
"Belize","2007",69.8,-0.1077924,0.5264921,0.1944116,3,0.674,6.451,5.23698997,4252.39538591882,8.51,71.1631927346847,67,"Warning"
"Botswana","2006",66.9,0.6225433,0.5131001,1.016433,5.6,0.615,4.739,4.77372456,5521.99060810445,17.78,36.2817155136342,65.9,"Warning"
"Botswana","2008",65.9,0.6959755,0.5135046,1.032002,5.8,0.641,5.451,5.7820034,5713.54393106428,16.35,377.472534231941,68.6,"Warning"
"Botswana","2010",68.6,0.6746734,0.4555333,0.9912098,5.8,0.663,3.553,6.19402504,6434.81248526822,17.86,77.8368130179995,67.9,"Warning"
"Botswana","2011",67.9,0.6676639,0.4259841,1.064447,6.08,0.677,3.52,5.77690315,7617.31004132551,17.85,58.7970860461862,66.5,"Warning"
"Botswana","2012",66.5,0.6624624,0.5329697,1.104041,65,0.689,4.836,6.14145994,7050.57347186681,17.86,35.8265126465699,64,"Warning"
"Botswana","2013",64,0.5960187,0.4893672,1.102347,64,0.701,4.128,6.22438812,7224.91273728564,17.88,52.0568959247951,64.5,"Warning"
"Botswana","2014",64.5,0.6335364,0.4354172,1.011847,63,0.711,4.031,5.59789324,7780.63475753974,17.78,47.5768930315113,62.8,"Warning"
"Botswana","2015",62.8,0.5960552,0.4403417,1.042092,63,0.717,3.762,5.72629929,6799.87017783413,17.71,30.9046571608491,63.5,"Warning"
"Botswana","2016",63.5,0.5337085,0.3967459,0.99456,60,0.72,3.499,5.56052208,7243.93397430839,17.62,41.9320113868881,63.8,"Warning"
"Botswana","2017",63.8,0.5090616,0.3884281,1.022508,61,0.726,3.505,6.13456821,7893.41867148033,17.46,46.2977223179115,62,"Warning"
"Botswana","2018",62,0.46531,0.4475507,0.9709879,61,0.73,3.461,5.84825039,8279.81845660293,17.32,38.0423474546231,59.5,"Less Stable"
"Brazil","2007",66.9,-0.3710029,0.537074,-0.3569552,3.5,0.706,6.321,8.20776176,7348.03071626086,8.33,1.7282345094069,67.6,"Warning"
"Brazil","2008",67.6,-0.315275,0.5689857,-0.3125997,3.5,0.717,6.691,8.01598835,8831.02311697566,7.34,2.44039536249384,69.1,"Warning"
"Brazil","2009",69.1,-0.1565112,0.5220069,0.1662922,3.7,0.719,7.001,8.40254688,8597.91548455152,8.52,1.93314123413898,67.4,"Warning"
"Brazil","2010",67.4,0.044096,0.5713488,0.0134759,3.7,0.727,6.837,7.94913244,11286.2429009115,7.73,2.37479618642669,65.1,"Warning"
"Brazil","2011",65.1,0.0376661,0.5136762,-0.1325754,3.77,0.731,7.038,7.78833342,13245.6120301146,6.92,4.25634486547199,64.1,"Warning"
"Brazil","2012",64.1,-0.0694453,0.4779062,0.0459616,43,0.735,6.66,7.73536205,12370.0244490002,7.19,6.46574112243193,62.1,"Warning"
"Brazil","2013",62.1,-0.0802455,0.4174263,-0.2585533,42,0.753,7.14,7.97721243,12300.324821091,6.98,5.74887349708811,61.4,"Warning"
"Brazil","2014",61.4,-0.0499485,0.4719279,-0.0702901,43,0.756,6.981,8.39624977,12112.5876683327,6.66,4.50844912596437,62.7,"Warning"
"Brazil","2015",62.7,-0.147159,0.4588515,-0.3314581,38,0.756,6.547,8.87090969,8814.00141787464,8.43,4.90625212668812,65.3,"Warning"
"Brazil","2016",65.3,-0.1573322,0.4518494,-0.3772054,40,0.758,6.375,9.20742226,8710.09677403838,11.6,3.27231278955631,68.2,"Warning"
"Brazil","2017",68.2,-0.2469499,0.4480156,-0.4738646,37,0.761,6.333,9.46933746,9928.6430632111,12.82,1.31783175644503,68.7,"Warning"
"Brazil","2018",68.7,-0.2524796,0.3602512,-0.4404235,35,0.762,6.191,9.51438713,9151.44525254365,12.33,2.12360448094387,71.8,"Elevated Warning"
"Chile","2006",32,1.271957,1.082345,0.6141229,7.3,0.791,6.063,6.03516722,9464.54850676993,9.02,6.04665120077593,33.8,"More Stable"
