"","Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","Aid per capita","FSI (Year+4)"
"1","Algeria","2010",81.3,-0.7849345,-1.022338,-1.259368,2.9,0.721,5.464,5.11716986,4480.78743864927,9.96,5.59378150497655,78.3
"2","Algeria","2011",78,-0.8076254,-1.004121,-1.360561,2.9,0.728,5.317,5.26748085,5455.67902952706,9.96,5.27393404763654,76.8
"3","Algeria","2012",78.1,-0.7722415,-0.9060266,-1.325043,34,0.728,5.605,6.00050974,5592.22011465753,10.97,3.94073414665011,75.8
"4","Algeria","2014",78.8,-0.7732704,-0.8151981,-1.190535,36,0.736,6.355,6.54721403,5493.05666265351,10.21,4.12653588008382,75.4
"5","Argentina","2006",40.8,-0.568944,0.4034365,0.0030557,2.9,0.812,6.313,7.64032841,5919.01233837714,10.08,2.90685567662451,45.8
"6","Argentina","2007",41.4,-0.5916041,0.4486213,0.0988585,2.9,0.817,6.073,7.83455086,7245.44685667197,8.47,2.27369505159089,46.8
"7","Argentina","2008",41.4,-0.6766081,0.3588959,-0.0852222,2.9,0.821,5.961,8.1826973,9020.87332314274,7.84,3.11924901902375,46.5
"8","Argentina","2009",44.7,-0.6754778,0.2800475,-0.2324056,2.9,0.821,6.424,9.45599556,8225.13758261645,8.65,2.86615646411532,46.1
"9","Argentina","2010",45.8,-0.5904954,0.3616894,-0.0847979,2.9,0.829,6.441,9.44546413,10385.9644319555,7.71,3.19477665795744,47.3
"10","Argentina","2011",46.8,-0.5608633,0.3449418,0.1589937,3,0.835,6.776,9.41819859,12848.8641969705,7.18,2.35207218769264,47.6
"11","Argentina","2012",46.5,-0.6796466,0.2952099,0.1030405,35,0.834,6.468,9.82726669,13082.664325572,7.22,4.25943115043237,48.4
"12","Argentina","2013",46.1,-0.7077284,0.2769879,0.0653143,34,0.835,6.582,9.78097916,13080.2547323367,7.1,0.822928536658322,48.2
"13","Argentina","2014",47.3,-0.8861388,0.3453205,-0.0051219,34,0.836,6.671,9.67129993,12334.7982453893,7.27,1.1434397149141,46.1
"14","Argentina","2015",47.6,-0.7708783,0.4117875,0.0147854,32,0.84,6.697,10.22933769,13789.060424772,7.61,-0.437494568163978,46
"15","Botswana","2006",66.9,0.6225433,0.5131001,1.016433,5.6,0.615,4.739,4.77372456,5521.99060810445,17.78,36.2817155136342,66.5
"16","Botswana","2008",65.9,0.6959755,0.5135046,1.032002,5.8,0.641,5.451,5.7820034,5713.54393106428,16.35,377.472534231941,64
"17","Botswana","2010",68.6,0.6746734,0.4555333,0.9912098,5.8,0.663,3.553,6.19402504,6434.81248526822,17.86,77.8368130179995,64.5
"18","Botswana","2011",67.9,0.6676639,0.4259841,1.064447,6.08,0.677,3.52,5.77690315,7617.31004132551,17.85,58.7970860461862,62.8
"19","Botswana","2012",66.5,0.6624624,0.5329697,1.104041,65,0.689,4.836,6.14145994,7050.57347186681,17.86,35.8265126465699,63.5
"20","Botswana","2013",64,0.5960187,0.4893672,1.102347,64,0.701,4.128,6.22438812,7224.91273728564,17.88,52.0568959247951,63.8
"21","Botswana","2014",64.5,0.6335364,0.4354172,1.011847,63,0.711,4.031,5.59789324,7780.63475753974,17.78,47.5768930315113,62
"22","Botswana","2015",62.8,0.5960552,0.4403417,1.042092,63,0.717,3.762,5.72629929,6799.87017783413,17.71,30.9046571608491,59.5
"23","Brazil","2007",66.9,-0.3710029,0.537074,-0.3569552,3.5,0.706,6.321,8.20776176,7348.03071626086,8.33,1.7282345094069,65.1
"24","Brazil","2008",67.6,-0.315275,0.5689857,-0.3125997,3.5,0.717,6.691,8.01598835,8831.02311697566,7.34,2.44039536249384,64.1
"25","Brazil","2009",69.1,-0.1565112,0.5220069,0.1662922,3.7,0.719,7.001,8.40254688,8597.91548455152,8.52,1.93314123413898,62.1
"26","Brazil","2010",67.4,0.044096,0.5713488,0.0134759,3.7,0.727,6.837,7.94913244,11286.2429009115,7.73,2.37479618642669,61.4
"27","Brazil","2011",65.1,0.0376661,0.5136762,-0.1325754,3.77,0.731,7.038,7.78833342,13245.6120301146,6.92,4.25634486547199,62.7
"28","Brazil","2012",64.1,-0.0694453,0.4779062,0.0459616,43,0.735,6.66,7.73536205,12370.0244490002,7.19,6.46574112243193,65.3
"29","Brazil","2013",62.1,-0.0802455,0.4174263,-0.2585533,42,0.753,7.14,7.97721243,12300.324821091,6.98,5.74887349708811,68.2
"30","Brazil","2014",61.4,-0.0499485,0.4719279,-0.0702901,43,0.756,6.981,8.39624977,12112.5876683327,6.66,4.50844912596437,68.7
"31","Brazil","2015",62.7,-0.147159,0.4588515,-0.3314581,38,0.756,6.547,8.87090969,8814.00141787464,8.43,4.90625212668812,71.8
"32","Chile","2006",32,1.271957,1.082345,0.6141229,7.3,0.791,6.063,6.03516722,9464.54850676993,9.02,6.04665120077593,38
"33","Chile","2007",33.8,1.28842,1.104882,0.4071552,7,0.804,5.698,6.17537546,10502.3507082131,8.43,6.42823412348283,40.7
"34","Chile","2008",36.3,1.313308,1.013508,0.4331903,6.9,0.814,5.789,6.74047899,10751.4816046663,9.29,6.16102653696667,43.5
"35","Chile","2009",37.5,1.296515,1.016847,0.6032314,6.7,0.822,6.494,7.20918465,10208.9079714292,11.31,4.49835197132003,42.3
"36","Chile","2010",38,1.33556,1.095609,0.6796045,7.2,0.803,6.636,6.77489328,12808.0383396854,8.42,10.6613727859078,42
"37","Chile","2011",40.7,1.365851,1.073909,0.4525534,7.21,0.815,6.526,6.7717886,14637.2334407887,7.34,9.35382895097398,41.5
"38","Chile","2012",43.5,1.391818,1.076945,0.3311021,72,0.821,6.599,7.0209198,15351.5407387113,6.66,7.36076777674846,41.9
"39","Chile","2013",42.3,1.367733,1.106285,0.3637425,71,0.826,6.74,7.44478321,15842.9364836273,6.21,4.58469380115312,41.1
"40","Chile","2014",42,1.433073,1.055915,0.4475169,73,0.837,6.844,7.80729866,14670.98891427,6.67,13.8285055754675,40.7
"41","Chile","2015",41.5,1.343957,1.004488,0.4334392,70,0.842,6.533,8.30269146,13574.1692377497,6.51,3.02348074305249,38.9
"42","China","2006",82.5,-0.6394754,-1.74897,-0.5397638,3.3,0.653,4.56,3.91870999,2099.22943460734,4.4,0.967582507918453,83
"43","China","2007",81.2,-0.5422143,-1.72125,-0.4988205,3.5,0.667,4.863,3.65868473,2693.97006340427,4.3,1.10269103199682,80.1
"44","China","2008",80.3,-0.4197974,-1.699497,-0.491275,3.6,0.678,4.846,3.87722778,3468.30460207977,4.6,0.985569857104303,78.3
"45","China","2009",84.6,-0.4070508,-1.701171,-0.4493464,3.6,0.687,4.454,4.32182407,3832.23643246922,4.7,0.857375730246864,80.9
"46","China","2010",83,-0.4099019,-1.680548,-0.6570607,3.5,0.699,4.653,4.2079916,4550.45310775599,4.5,0.502270690958349,79
"47","China","2011",80.1,-0.46481,-1.637609,-0.6020548,3.64,0.707,5.037,4.32551336,5618.13226711491,4.5,-0.44907113549401,76.5
"48","China","2012",78.3,-0.5428619,-1.637941,-0.5387821,39,0.716,5.095,4.5493989,6316.91831760216,4.6,-0.133657116358095,74.9
"49","China","2013",80.9,-0.5246463,-1.631409,-0.5437899,40,0.724,5.241,4.71002245,7050.64627124287,4.6,-0.483689156900035,74.7
"50","China","2014",79,-0.414574,-1.616668,-0.522584,36,0.731,5.196,4.77322769,7678.59948587722,4.6,-0.694195435891883,72.4
"51","China","2015",76.5,-0.4098733,-1.660777,-0.5502946,37,0.739,5.304,4.8887229,8066.94263493206,4.6,-0.223370435484402,71.1
"52","Colombia","2006",91.8,-0.5051838,-0.1727367,-1.901591,3.9,0.698,6.025,6.33551502,3741.09283661273,11.53,23.2573850770932,88.2
"53","Colombia","2007",89.7,-0.4358616,-0.1653216,-1.80328,3.8,0.711,6.138,6.49102831,4714.07305530503,11.2,16.959584247299,87
"54","Colombia","2008",89,-0.3967666,-0.1659226,-1.850909,3.8,0.718,6.168,6.84192705,5472.53652992425,11.27,22.1283605834694,84.4
"55","Colombia","2009",89.2,-0.3884734,-0.1496109,-1.831908,3.7,0.72,6.272,7.31134653,5193.24145795078,12.07,23.6710335432641,83.8
"56","Colombia","2010",88.2,-0.3085754,-0.1323792,-1.537185,3.5,0.729,6.408,7.07130146,6336.70947398466,10.98,14.8838977270125,83.1
"57","Colombia","2011",87,-0.2558111,-0.0597142,-1.284656,3.45,0.734,6.464,6.78076839,7335.16693447605,10.11,22.1973072898017,82.5
"58","Colombia","2012",84.4,-0.3538536,-0.0639913,-1.40181,36,0.739,6.375,6.74599648,8050.25537167048,9.74,16.5868267150936,80.2
"59","Colombia","2013",83.8,-0.4059462,-0.0812788,-1.291972,36,0.742,6.607,7.01724052,8218.34784431476,9.05,18.4424328757372,78.9
"60","Colombia","2014",83.1,-0.2919965,-0.0433162,-1.114594,37,0.753,6.449,7.18553209,8114.34392085159,8.57,26.0640799434682,76.6
"61","Colombia","2015",82.5,-0.268497,0.0039271,-1.069147,37,0.756,6.388,7.52338552,6175.87602970259,8.3,28.5332704598888,75.7
"62","Costa Rica","2006",49.6,0.4662502,0.9157226,0.7379774,4.1,0.745,7.082,6.96992493,5227.46595193036,5.74,7.33185590311079,52
"63","Costa Rica","2007",50.5,0.3818599,0.9353473,0.5834517,5,0.753,7.432,7.03324175,6103.74191702863,4.49,14.6232628291504,50.6
"64","Costa Rica","2008",50.9,0.460335,0.9667597,0.3603145,5.1,0.761,6.851,7.51461315,6901.38830612557,4.78,17.2816203482221,49.7
"65","Costa Rica","2009",52.5,0.5635187,1.005792,0.5871099,5.3,0.762,7.615,7.90734673,6801.0367345982,7.71,24.9096443325642,48.7
"66","Costa Rica","2010",52,0.5236837,1.03989,0.6915372,5.3,0.765,7.271,8.11340141,8227.12749376825,7.17,22.0934674627462,48.5
"67","Costa Rica","2011",50.6,0.4513466,1.053863,0.508276,4.8,0.778,7.229,8.21805191,9229.83451670274,10.14,7.67307130432297,46.8
