"Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"Algeria","2005",11405.6417405617,4.48975384103596,8.13628001381142,11.4504192417177,47.2051826067914,24.0733995011363,0.685,31.6564061345789,4157115346477.56,-1100999999.99995,73.2763083333333,59167068864.0544,1.38244656662119,-0.4675675,104.301,133.27,5.89999999966911,"0",11776.0395951049
"Algeria","2006",11776.0395951049,3.21003641673431,6.15229913797531,11.2315757541753,48.8106808135892,21.9193233020888,0.69,30.1704601125642,5501569584488.89,-1762000000.00007,72.6466166666667,81462730475.3241,2.31149918514421,-0.4726413,100.685,128.134,1.70000000049772,"0",12311.0375842154
"Algeria","2007",12311.0375842154,5.29247861457533,10.1485410093633,11.6434932564687,47.0681497449612,24.8699562242212,0.7,34.4694671347003,7397799734725.87,-1539745127.74472,69.2924,114972269711.741,3.67899574741703,-0.5657254,97.069,122.997,3.39999999955816,"0",12643.1506112786
"Algeria","2008",12643.1506112786,6.83429668477875,12.4330253871386,13.2067175668736,47.9733560334529,28.7111829630302,0.702,37.3484486767615,10246822511664.3,-2320754663.57849,64.5828,148098646076.637,4.85859062814938,-0.6265267,95.34,120.793,2.40000000008489,"1",12722.3778226055
"Algeria","2009",12722.3778226055,6.0830800671378,8.81727466476401,16.1452849340481,35.371648308301,35.9526750833114,0.711,46.8764527700871,10758043228803.9,-2532507565.45895,72.6474166666667,155111906771.678,5.73706036145632,-0.5829369,93.611,118.589,1.60000000037586,"1",13095.4482810777
"Algeria","2010",13095.4482810777,5.58537683000613,6.95287505506354,17.2267519332544,38.4445377322247,31.4221060516945,0.721,41.4302817971996,11871426302056.4,-2081136054.38595,74.3859833333333,170461132878.607,3.91106195534027,-0.4795784,91.882,116.385,3.60000000003535,"0",13500.0438649003
"Algeria","2011",13500.0438649003,5.97229736302398,2.86050786729658,20.6680871432497,38.7881212988477,28.6861850586601,0.728,38.0532076876006,13795215800330.3,-2037319357.9126,72.9378833333333,191369111470.407,4.52421150505276,-0.5646223,90.153,114.181,2.89999999946306,"0",13303.3275185881
"Algeria","2012",13303.3275185881,5.04573145527112,7.18761157745374,20.3180344139318,36.8905478100074,28.5144313881196,0.728,39.1527291423267,14810905724457.2,-1541844615.21892,77.5359666666667,200586904241.375,8.89145091062314,-0.5324013,88.423,111.978,3.40000000029599,"0",13056.8025915699
"Algeria","2013",13056.8025915699,5,8.59999134686799,19.1357736663663,33.2098978857357,30.4009257853789,0.729,43.4111614791014,15099127139308,-1963635049.70214,79.3684,201436604411.915,3.25423910998847,-0.5344679,87.096,110.382,2.8,"0",13003.2667848382
"Bahrain","2002",41932.5835516097,0.692532828895835,36.0147382795893,17.6690249392874,72.5085662959225,58.6250679204693,0.795,23.3477306246465,1346206250.42289,-26956705.9389952,0.376,1777159820.10789,-0.495540138751172,0.5528279,74.573,92.812,3.3485506679412,"0",42860.4822233235
"Bahrain","2003",42860.4822233235,3.28464663097421,15.2259983329545,17.3159819698232,72.0630719982325,56.0285101569836,0.797,23.735810361348,1334827484.45613,224654326.553137,0.376,1840973997.58307,1.59362549800788,0.4817965,72.824,90.633,6.29644197869368,"0",44185.3385399123
"Bahrain","2004",44185.3385399123,1.45422836053588,-3.33906009814963,15.43849075531,78.6051459613386,62.1321640785849,0.796,20.5199354428997,1249997022.04632,170330179.249347,0.376,2006203184.74825,2.35294117647061,0.546102,71.075,88.455,6.98096059429825,"0",45400.8527009258
"Bahrain","2005",45400.8527009258,2.73957736451875,30.8132563420048,14.0567332418424,83.8940482059345,64.4194769029886,0.795,26.7352737398905,1531606688.68899,86771034.2841144,0.376,2051923931.62393,2.58620689655173,0.3969875,69.326,86.276,6.76899787107483,"0",46200.6358641054
"Bahrain","2006",46200.6358641054,1.18052181261223,24.3034156362549,12.7112200856881,84.6389442624741,62.4652368065147,0.797,30.3879536462009,2270201433.02323,-1934606676.81138,0.376,2895643505.16612,2.00746965452849,0.3956852,67.578,84.097,6.46700012199585,"0",47532.8591584055
"Bahrain","2007",47532.8591584055,4.82150090408362,37.7033147495371,12.0997787155712,79.6795292320647,58.1055213402395,0.799,34.7132604204404,3680944809.59544,-87163578.6117713,0.376,4342187749.57618,3.25666666666702,0.4089861,65.829,81.919,8.29396044759683,"0",47847.6152454812
"Bahrain","2008",47847.6152454812,25.1813636635261,18.5972494939175,11.2930187332554,82.5773483806233,63.3051627651981,0.8,34.9481240884218,2732097934.05554,-173519631.140213,0.376,4050919098.60005,3.52600316363722,0.3868127,64.95,81.023,6.24501077496258,"1",46498.8434018951
"Bahrain","2009",46498.8434018951,10.95651509751,-29.4437701552858,13.9782278252058,68.4655938651118,49.4981315443774,0.798,26.1446971919251,2131886955.0319,-2048638923.12243,0.376,4008299045.06264,2.79551283550411,0.4806274,64.072,80.127,2.53988593585052,"1",46872.9477813149
"Bahrain","2010",46872.9477813149,14.203274325115,14.2936896619024,12.9275490034846,69.5373177399286,50.9350767827277,0.8,27.2864931284966,2062022631.36291,178271544.021768,0.376,5299463737.03106,1.96188468334624,0.4567964,63.193,79.231,4.33429917283131,"0",47377.4983094697
"Bahrain","2011",47377.4983094697,6.61824538139297,-12.4890295576479,13.8359519408503,99.4186691312384,74.7365988909427,0.801,22.4029574861368,1641366538.88597,112765957.446808,0.376,4774194828.72022,-0.400040697488052,0.5205983,62.315,78.336,1.98351501159991,"0",50675.6210184322
"Bahrain","2012",50675.6210184322,1.13044256626245,9.84189795066345,15.4423123163123,102.14552480855,83.7391257717264,0.808,28.1463689721443,1705692872.25376,-1028723404.25532,0.376,5454261306.9061,2.75739669962976,0.5496432,61.436,77.44,3.72810843046017,"0",51494.4117178119
"Bahrain","2013",51494.4117178119,9.89278468658796,16.9195048997736,15.552226265321,104.804803332124,87.0677507838272,0.815,25.9405926027639,1586384622.51278,-3196063829.78723,0.376,5527718440.19013,3.30001156888438,0.588751,60.59,76.45,5.41683981012071,"0",51101.9770222914
"Botswana","1996",7388.87180135711,5.42656761539068,0.150970620849989,26.1937709821346,53.828444483056,37.127130792,0.575,23.4435212132871,18657737582.5812,-72235497.4986437,3.32419666666667,5027655243.07193,10.0828580652108,0.556377,420.743,542.552,5.82980007842275,"0",7897.09066205211
"Botswana","1998",7897.09066205211,2.08671486155451,10.3630571809412,30.0691562932227,49.2891721003754,52.551867219917,0.58,37.9366725943489,27747338735.0714,-91820638.5415582,4.22588,5940671350.99934,6.66139865665754,0.5215724,475.186,594.964,0.443663480338245,"0",8784.19407640036
"Botswana","2000",8784.19407640036,-1.2996152763442,1.96470984356942,24.9027290058887,51.8318100701299,40.0929196197881,0.581,29.551080393757,35110560085.8291,-54918606.0375423,5.10224166666667,6318214000.31791,8.6014851485149,0.5258102,507.203,615.861,1.98769585438754,"0",9347.85152298419
"Botswana","2002",9347.85152298419,4.95316756434019,4.16199789480834,22.3791259879126,52.1574267782427,39.6783472803347,0.579,30.1938052068805,31024764552.1016,-365114185.438574,6.32779166666667,5473918813.89759,8.03279662527486,0.6065881,539.22,636.758,6.06953086765014,"0",9791.02543257698
"Botswana","2003",9791.02543257698,1.33197037037036,5.42354470405111,22.0087160576493,48.8268578340104,37.007184681116,0.586,30.1430076912868,24925324281.0707,-211973062.159068,4.94966666666667,5339775869.80523,9.18990265632739,0.7258958,509.391,606.848,4.62589479191556,"0",10144.5063829464
"Botswana","2004",10144.5063829464,3.07581739403513,9.88587466083277,20.5323439366629,49.6137877815052,41.3840351057579,0.592,34.9893543230794,25239723549.3439,-429642225.615169,4.69383333333333,5661431014.73493,6.94570363654673,0.6100825,479.562,576.937,2.70582173663567,"0",10733.2254814196
"Botswana","2005",10733.2254814196,10.7754768048527,1.86251639906429,19.4007450572658,52.9235535447696,35.5817985125809,0.601,27.1847029220797,35868772363.7315,-363607719.743978,5.11675,6309056417.68859,8.61022528546438,0.6495795,449.733,547.027,4.55664565732845,"0",11742.5006428721
"Botswana","2006",11742.5006428721,17.2480741456591,6.95255577036788,17.0378523144023,52.2544736358281,34.0801152812935,0.615,28.5359234110413,48772742103.1955,-437105003.173079,5.8303,7992391904.99401,11.5552187914379,0.5078346,419.904,517.116,8.36387106895727,"0",12780.6386819471
"Botswana","2007",12780.6386819471,14.9935637033406,11.3470887237644,17.5947805481447,54.5160825555851,40.5885562467541,0.628,29.5754475897104,60544629603.2645,-462989971.617786,6.13940833333333,9789741087.58999,7.08099847172694,0.6010549,390.075,487.206,8.27676379346968,"0",13552.6333716045
