"","Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","Aid per capita","FSI (Year+4)"
"1","Albania","2007",70.5,-0.6462957,0.1130085,-0.203224,2.9,0.722,4.634,6.31683397,3595.03716321514,15.97,103.91523175888,66.1
"2","Albania","2009",70,-0.5004299,0.1414773,-0.0452486,3.2,0.733,5.485,4.60224104,4114.14011404922,13.67,121.997498187538,65.2
"3","Albania","2010",67.1,-0.4073618,0.1238216,-0.1914829,3.3,0.745,5.269,4.74581575,4094.3503344202,14.09,125.32350687627,63.6
"4","Albania","2011",66.1,-0.4553454,0.0623338,-0.2823794,3.05,0.764,5.867,4.79532719,4437.14288515077,13.48,130.621184115465,61.9
"5","Albania","2012",66.1,-0.5202896,0.0220641,-0.1436316,33,0.775,5.51,5.05526161,4247.62998374252,13.38,120.383355150584,61.2
"6","Albania","2013",65.2,-0.5180739,0.0488926,0.0919298,31,0.782,4.551,5.38559914,4413.06086120676,15.87,93.2543805123734,60.5
"7","Albania","2014",63.6,-0.3379574,0.1437607,0.4859862,33,0.787,4.814,5.50349331,4578.6319939825,18.06,97.3208349120468,60.1
"8","Albania","2015",61.9,-0.3283079,0.1571486,0.3461291,36,0.788,4.607,4.89632177,3952.80121524465,17.19,116.346601389351,58.9
"9","Armenia","2006",71.5,-0.5464354,-0.7422228,-0.2627405,2.9,0.726,4.289,5.85007095,2158.1480742298,10.07,72.8086828857672,74.1
"10","Armenia","2007",70.3,-0.4983765,-0.7593779,0.150446,3,0.741,4.882,5.49814034,3139.28071035448,9.81,119.99529222093,72.3
"11","Armenia","2008",70.7,-0.3405266,-0.8576297,-0.0093653,2.9,0.745,4.652,6.63976574,4010.86138084833,13.51,101.811965744879,72.2
"12","Armenia","2009",74.3,-0.475852,-0.8764755,0.2277748,2.7,0.742,4.178,8.44377613,2994.34047090816,18.44,140.438644345896,71.3
"13","Armenia","2010",74.1,-0.488626,-0.847555,0.0718553,2.6,0.747,4.368,9.23538303,3218.37829927419,19.01,111.326051770582,71.3
"14","Armenia","2011",72.3,-0.4409416,-0.6907798,-0.063869,2.63,0.751,4.26,9.37588787,3525.80719813557,18.44,130.709294176876,69.7
"15","Armenia","2012",72.2,-0.4178914,-0.5704914,0.154795,34,0.756,4.32,9.13455009,3681.84469060495,17.3,93.8063723424425,69.6
"16","Armenia","2013",71.3,-0.3442721,-0.5880308,0.1103851,36,0.762,4.277,10.32345009,3838.17387997786,16.18,96.7561646344269,71
"17","Armenia","2014",71.3,-0.3660013,-0.5620829,-0.2971358,37,0.764,4.453,10.17827797,3986.23162376713,17.5,91.8245149025671,69.5
"18","Armenia","2015",69.7,-0.3879299,-0.5362936,-0.2523326,35,0.768,4.348,10.1176281,3607.28929855361,18.26,118.773885943277,66.7
"19","Azerbaijan","2006",81.9,-0.8850427,-1.279161,-1.094162,2.4,0.701,4.728,2.06678391,2473.08181863536,6.62,24.0260244919903,84.4
"20","Azerbaijan","2007",81.2,-0.87931,-1.233397,-0.6255671,2.1,0.706,4.568,1.99021435,3851.43786871172,6.33,24.8575387830042,81.9
"21","Azerbaijan","2008",81,-0.8324519,-1.325132,-0.3334748,1.9,0.716,4.817,1.93880868,5574.60380218613,5.86,25.6863781298943,79.8
"22","Azerbaijan","2009",84.6,-0.8799943,-1.259756,-0.2759402,2.3,0.727,4.574,2.6137836,4950.29479142375,5.74,24.3181057931538,78.2
"23","Azerbaijan","2010",84.4,-0.8930393,-1.304588,-0.2385469,2.4,0.726,4.219,2.48996663,5843.5337683582,5.63,17.2823346578786,77.8
"24","Azerbaijan","2011",81.9,-0.8936627,-1.301848,-0.532136,2.38,0.727,4.68,2.44641805,7189.69122920765,5.42,31.3711344795208,77.3
"25","Azerbaijan","2012",79.8,-0.8344684,-1.299482,-0.7157518,27,0.73,4.911,2.96481562,7496.29464768263,5.19,30.8516213957771,76.3
"26","Azerbaijan","2013",78.2,-0.7239093,-1.402769,-0.4128599,28,0.735,5.481,3.03672314,7875.75695254288,4.97,-7.5216628057718,76.3
"27","Azerbaijan","2014",77.8,-0.6723402,-1.479178,-0.5599095,29,0.74,5.252,3.37713742,7891.31314749986,4.91,22.7308033308548,74.6
"28","Azerbaijan","2015",77.3,-0.6737632,-1.552387,-0.7295656,29,0.744,5.147,4.10663605,5500.31038244408,4.96,7.2108553144774,73.2
"29","Belarus","2006",84.5,-1.334362,-1.753809,0.1468077,2.1,0.744,5.658,5.76295853,3847.43412382153,7.7,7.78350793158077,78.7
"30","Belarus","2007",85.2,-1.209228,-1.704454,0.3405411,2.1,0.76,5.617,5.88534021,4735.65760793999,7.01,8.93530177432896,77.6
"31","Belarus","2008",84.4,-1.062698,-1.593318,0.5184895,2,0.777,5.463,5.47281408,6377.36973201232,6.42,11.6645858898443,76.6
"32","Belarus","2009",82.3,-1.030047,-1.547589,0.4887801,2.4,0.787,5.564,5.39037848,5351.35538243278,6.1,10.3315903170745,76.7
"33","Belarus","2010",78.7,-1.069649,-1.555038,-0.0949901,2.5,0.795,5.526,5.65693998,6029.3967998293,6.11,14.3573892675335,75
"34","Belarus","2011",77.6,-1.107252,-1.660208,-0.087769,2.42,0.801,5.225,4.87438536,6519.23019498892,6.08,12.6462396177076,75.6
"35","Belarus","2012",76.6,-0.936956,-1.567181,0.0686152,31,0.806,5.749,5.245327,6940.15925359735,6.06,10.86904295967,73.9
"36","Belarus","2013",76.7,-0.9009678,-1.544429,0.0059592,29,0.811,5.876,5.69559479,7978.87261471076,6.05,11.3184062270089,72.4
"37","Belarus","2014",75,-0.8404086,-1.442872,0.1797822,31,0.814,5.812,5.38793373,8318.51268992675,5.97,12.7299446494233,70.5
"38","Belarus","2015",75.6,-0.8130023,-1.465078,0.1100165,32,0.814,5.719,6.06533337,5949.10630699748,5.91,11.0204671960441,68.2
"39","Bosnia and Herzegovina","2007",84.5,-0.470455,0.1310104,-0.6306275,3.3,0.719,4.9,9.5306015,4193.3680796247,28.98,159.216915206276,77.9
"40","Bosnia and Herzegovina","2009",83.3,-0.3580605,0.0031428,-0.6666183,3,0.727,4.963,9.02212143,4714.6936611642,24.07,111.709352342685,76.5
"41","Bosnia and Herzegovina","2010",83.5,-0.3508464,-0.0824645,-0.6937302,3.2,0.721,4.669,9.01888275,4635.51027337483,27.31,137.952510492784,75.9
"42","Bosnia and Herzegovina","2011",80.9,-0.3326592,-0.159755,-0.8197949,3.21,0.729,4.995,9.17856026,5092.55472521264,27.58,170.923370541866,77.4
"43","Bosnia and Herzegovina","2012",77.9,-0.2067266,-0.1003254,-0.5381487,42,0.748,4.773,9.49001503,4778.63608845506,28.01,157.565722987932,74.6
