"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.9110485901043","86.6351163703935","82.5255818363492","79.6502635437322","79.9335886452149","74.4003244390901","70.4975269130055","64.9208633093525","63.1011608623549","65.0789671596891","68.5522531160115","65.852534562212","66.1610766930143","67.7045177045177","63.7826961770624","61.0422996027109","67.8133216476775","65.2413489089707","76.5483116318725","78.2755038498016","72.8529594472398","71.8203884851331","72.5486645884887","73.7993971442039","","",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","24.7294845628658","25.7499353199578","27.1793817532091","27.9813788100163","30.078020827335","31.4155020568994","26.1964023881732","24.4780416774289","23.4077586710749","23.9447386774485","27.5969988952153","27.3473832132375","26.8373627217434","25.8314666695923","24.4373320813123","21.9475012325659","20.1531831658633","20.0296871012299","21.9098931134845","22.3756038273688","23.0785026445392","23.5502527485722","22.7302791512516","22.9313561085346","22.7949047906877","32.7347043844669","32.132076977459","31.6252043190957","28.9445026920059","29.4501503738627","31.2373460154371","32.2507037951566","34.7722572633863","38.0577177070554","30.5801404190355","32.4753265303463","32.450229593821","30.1919317241928","29.7584879624063","29.3937941532044","26.1132865726248","25.5251573321974","25.4702357751604","27.1598174038397","26.7647841307848","25.1187612529844",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.13223321494422","4.45344326574765","4.87805112036481","9.171601094149","8.88889256172819","11.2582791310323","8.57142877551021","6.77290842314672","8.89967664482985","10.0946369851427","9.78400228346932","10.922342255116","14.7632312416105","12.9487180787311","14.0206189325114","12.6760568934735","13.2173912468809","11.6629043316852","10.8417502819894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","13.9608477552615","13.8729144484353","13.3006423917375","13.9683433507728","14.4533262546179","15.9053803068709","15.1649225832431","15.8330422557125","15.8831668096266","16.8551588058409","15.5477458865061","16.6188023246612","17.0484749174625","19.7091042117915","26.7774008011903","21.0805990785859","21.1130510189903","25.159207640403","21.6886284209619","24.7456788394346","28.0173612091901","15.5011474589736","14.5622384806099","14.3449961693363","16.0331770217741","16.5053602905085","13.4033856663334","17.6143374290203","15.9937600701708","24.6887433013476","22.4199636936957","23.6977549687068","23.434044124708","20.9964479611362","20.3374557035084","26.5513923821701","26.431623387821","30.0784912041419","23.450837182574","25.1067863816617","35.4940924430779","30.2545789704217","27.6044606023785","29.1059046622162","26.5903805311338","28.0676664882376","32.4147841318791","27.2787057427526","29.8733836477463","24.9621448057271","29.8842103482618","34.5872264906068","34.4579238343799","24.8845728529022","24.7092608079248","19.011345137697","17.6401319801967","21.0934480113242","22.7169426208004","22.0268385594957","15.7176007930402",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6858311851382","75.38894373114","57.0849959046266","54.3213373807344","58.3803455316586","65.5262677696291","63.4678635039226","67.9057833724671","72.475028472181","58.7573030189496","61.5431127231538","60.6699484390186","55.9401314050624","50.7470843910637","44.6950312503076","29.7545994933756","28.124484560559","29.0041000519815","40.8362898865574","39.3438256954007","35.2845259757963",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.6408294970517","11.6204393760685","10.1972617518115","11.4671124664384","16.841765359846","20.1153637600108","21.3334375486568","20.9456511360868","20.8474513850141","22.2175512676614","23.0129901117958","25.2095968180952","28.2478672596633","25.3024021398457","25.2407157401832","27.9794485454508","29.2415007417055","28.9374866944749","28.9163537436855","28.2129788388934","27.267393304466","28.9778642158267","31.5698206428859","31.5915741366206","31.5402162770969","23.249921309893",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","37.1073927246956","38.6765717608176","41.1068103902414","57.2191763766287","49.8804373485933","50.7007973114043","44.9929184793818","43.5775159018617","39.6876349485659","44.9508279496189","50.5045316308065","47.072043561008","39.4131489165316","34.0300561993175","32.2483183111372","29.5406764447247","24.2488134956641","27.6566552558756","27.9460597305786","29.6934864806207","32.3172166488531","28.9463467521207","30.5524261286625","28.7193719650907","29.6679736993097","31.3945852928593","32.5009288236127","37.3115153240369","32.8511831884307","36.1136765999564","42.623837597244","40.8711554232383","41.6745892532504","45.6898311462773","48.9930292014377","52.7806086462539","53.9129190411151","53.9451206294308","57.187623500807","47.6464064573073","50.6678661043307","54.9210289678218","56.1040069452198","54.2441505292146","50.610161377649","43.5899832129808","40.2089607828859","43.9246847747821","46.9373104377408","45.2592660725432","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","82.2424180920917","90.0765712005007","100.246495561481","100.547788395094","99.5608302752882","100.870480235332","101.003013922614","99.5949384103598","93.0481227958133","92.4562533364679","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829665278","9.6158924127723","8.6083899381245","6.51091546668746","5.06197268096631","6.9210494803617","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.6198312492533","17.4397039105268","16.6137220454622",
