"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","181.484","175.849","170.213","166.562","162.911","159.26","155.609","151.957","146.205","140.452","134.7","128.947","123.195","119.658","116.121","112.585","109.048","105.511","103.74","101.969","100.199","98.428","96.657","95.556","94.456","93.355","92.255","91.154","90.796","90.437","90.078","89.72","89.361","89.007","88.653","88.299","87.944","87.59","87.256","86.923","86.589","86.255","85.921","84.721","83.521","82.322","81.122","79.922","78.855","77.789","76.722","75.655","74.589","73.561","72.534","71.506","70.479","69.451","68.514","67.577","",
"Africa Eastern and Southern","AFE","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","397.328250553787","392.394810542666","387.51308418747","383.46743866579","379.406494921902","375.307782731918","371.162766988692","366.989684104103","363.300264127243","359.627530054759","355.991044615354","352.356884956899","348.767088571497","346.054648783361","343.363356815686","340.679905639106","337.987497486173","335.297687855823","334.082374728751","332.833882075448","331.559644243469","330.175026187776","328.803592066184","327.306526827164","325.83377849563","324.386314866799","322.903429763118","321.456381373278","325.462512972427","329.542815290457","333.625625142667","337.459956188002","341.105873588261","347.297703421088","353.690375662669","360.280989962434","366.973639670457","373.743433697081","377.522533532529","381.255423414915","384.916620832974","388.418470829412","391.80324968075","380.934278092729","370.011149131151","359.034645144802","348.026897811142","336.941701766874","320.623522860251","304.387185717308","288.231335911756","272.144330238697","256.117662938","248.535439752129","241.000044811335","233.514695223921","226.077082553413","218.692894200127","217.218199244383","213.511942057134","",
"Afghanistan","AFG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","551.122","545.51","539.898","534.645","529.392","524.139","518.886","513.633","508.259","502.885","497.512","492.138","486.764","480.737","474.71","468.683","462.656","456.629","449.341","442.054","434.766","427.478","420.19","410.705","401.22","391.735","382.25","372.765","364.512","356.259","348.006","339.752","331.499","326.243","320.987","315.731","310.475","305.218","299.408","293.597","287.786","281.975","276.164","269.54","262.917","256.293","249.669","243.045","238.354","233.662","228.971","224.28","219.588","215.307","211.026","206.746","202.465","198.184","192.532","188.839","",
"Africa Western and Central","AFW","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","451.576622729412","446.73924740882","441.888860724976","437.524832967349","433.187697061776","428.884256188289","424.579161886474","420.30303574361","414.840812501454","409.379087258433","403.911493462681","398.392516191446","392.875878776976","386.97025719237","381.074390839176","375.19112452827","369.310819811826","363.452384648993","358.349021581735","353.247437827279","348.135810808132","342.950487458424","337.752583510782","335.508827518579","333.267915776123","331.043816851978","328.843259593782","326.665906537751","326.915216199679","327.15780422337","327.381470588783","327.554695905973","327.704368420572","332.588359818653","337.510144198223","342.468595209485","347.433169346658","352.414102086152","354.40516908644","356.425092978954","358.465168259787","360.479318730982","362.485684412349","357.220093171641","351.952579320722","346.679529126953","341.371383167905","336.061655792824","331.611516810354","327.167572956067","322.731872047305","318.308868571923","313.892001147687","309.176484458668","304.485553007952","299.817355206438","295.145542795662","290.490681335332","283.0001504689","279.431747506826","",
"Angola","AGO","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","498.232","494.482","490.731","486.126","481.521","476.916","472.311","467.705","463.195","458.685","454.175","449.665","445.154","440.734","436.313","431.892","427.472","423.051","420.438","417.826","415.213","412.6","409.988","408.481","406.975","405.468","403.962","402.455","400.316","398.178","396.039","393.9","391.762","386.523","381.283","376.044","370.805","365.566","355.259","344.953","334.646","324.339","314.033","303.361","292.69","282.019","271.347","260.676","251.656","242.637","233.617","224.597","215.577","212.458","209.339","206.219","203.1","199.981","220.291","216.821","",
"Albania","ALB","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","151.058","139.856","128.654","129.676","130.698","131.72","132.743","133.765","131.93","130.095","128.26","126.425","124.59","121.461","118.332","115.203","112.075","108.946","105.126","101.307","97.488","93.668","89.849","86.023","82.196","78.37","74.543","70.717","71.986","73.255","74.524","75.793","77.062","76.007","74.951","73.895","72.839","71.783","69.539","67.295","65.051","62.807","60.562","60.346","60.13","59.914","59.697","59.481","58.217","56.953","55.689","54.425","53.161","52.505","51.85","51.195","50.539","49.884","49.486","49.088","",
"Andorra","AND","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","299.578324478518","295.734470653217","291.664486727751","286.690090441448","281.786459233383","277.02121864668","272.325031079821","267.761619551418","263.368250731905","258.939911876272","254.442614282644","249.894213037608","245.300055804021","241.061937544499","236.944056812443","232.97696007323","229.219927692436","225.594388944663","220.457667353668","215.231681158315","209.863901468423","204.253967357713","198.500460088209","194.308926335733","190.115949709178","185.962938310581","181.841727427448","177.75817868824","174.833661271409","171.928029295851","168.921434188789","165.948673084851","163.643941283355","161.064832168278","158.500691746242","155.461363761262","152.858091557319","150.294099555638","148.39075384198","146.527448217181","144.700537719023","142.898621314231","141.123759866681","138.763708117913","136.410239098803","134.051487804281","131.575067294351","129.105055579611","127.13946699554","125.225785449981","123.371159432449","121.566594402643","119.804151315854","118.143826545418","116.534794793021","114.967679718168","113.440004087832","111.939363701095","110.082162092933","108.968599340334","",
"United Arab Emirates","ARE","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","253.996","246.851","239.707","233.785","227.863","221.942","216.02","210.098","205.107","200.116","195.125","190.133","185.142","180.838","176.533","172.228","167.924","163.619","159.811","156.004","152.196","148.388","144.58","141.139","137.698","134.257","130.816","127.376","124.189","121.002","117.816","114.629","111.442","108.278","105.115","101.951","98.787","95.623","92.397","89.17","85.943","82.717","79.49","76.507","73.524","70.541","67.557","64.574","63.499","62.424","61.349","60.274","59.199","58.346","57.493","56.639","55.786","54.933","44.863","44.23","",
"Argentina","ARG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","156.231","151.879","147.528","146.321","145.115","143.908","142.701","141.495","139.873","138.251","136.629","135.007","133.385","131.791","130.198","128.604","127.011","125.417","123.385","121.353","119.321","117.289","115.256","114.298","113.34","112.381","111.423","110.465","109.675","108.885","108.095","107.306","106.516","105.338","104.16","102.982","101.803","100.625","99.515","98.406","97.296","96.186","95.076","94.03","92.985","91.939","90.894","89.848","88.863","87.878","86.893","85.908","84.923","83.995","83.067","82.139","81.211","80.283","79.483","78.682","",
