"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23307.8954223286","25020.1199910403","25659.4387784478","26532.5274656042","27712.9100270432","27707.4342312333","27558.8160750819","29223.2368822152","29508.8622671102","29716.8343112066","32026.9727415196","31064.3556476532","29847.9283520918","30356.0452745934","33050.9033772923","34051.4928047902","35168.5614695776","36619.588029091","37247.9805023973","33553.8820015977","32625.4926908747","34324.7993588886","33567.5500169846","36829.0327743518","36779.429429343","37311.7503195981","37585.0250792115","38897.122666275","","","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1707.47783450988","1715.66294604856","1671.69443240945","1658.55375278601","1680.41185414035","1744.69250822342","1826.6100290035","1874.57521345293","1880.76859551889","1912.19759166153","1969.53308234145","2033.22392141846","2091.7355140483","2144.21540245919","2265.39199870419","2422.4316215207","2601.29773581223","2791.79644976563","2911.07962091422","2899.93153633745","3002.38524205155","3117.24497778379","3076.2788875461","3197.54238896057","3354.64651291815","3372.02102831414","3454.15639232577","3544.2803273669","3639.14338045212","3693.06039215245","3548.20982445779",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.01426830392","927.857548047018","925.441429176842","1023.05174932878","1077.76153966077","1228.70386342946","1272.57297477768","1519.69292278438","1710.57541109225","1699.48811019742","1914.77422837964","2015.51477466948","2069.42402167356","2087.30532306683","1981.11806850696","2058.4002210698","2082.63564821362","2152.3664894209","2087.63639400062",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1685.17267738029","1717.73761585351","1756.16654064883","1731.86002564857","1719.42760033121","1743.96347737345","1809.05125682151","1859.42666460741","1896.81918361361","1902.77429883752","1961.84703083513","2062.21449796124","2241.11811481389","2353.91435895237","2539.73938586082","2701.14047979591","2851.43830706423","3007.0224402846","3166.39922734979","3293.05229721638","3456.53277080619","3606.24254716842","3711.71930757438","3944.95689218387","4110.18104823027","4117.32859466005","4050.63101056238","4099.55966564973","4214.04183515172","4317.5801524919","4222.99266843149",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3281.31385049283","3313.88875813176","3088.5337197102","2326.64619254223","2331.7038793884","2651.02047313358","2968.24306834791","3136.51628626983","3215.10561889009","3226.1281422107","3289.40954946819","3389.19696691951","3785.1503220062","3838.7950524777","4225.4679269176","4837.70982676046","5362.01984289893","6050.61055453052","6607.29163426752","6470.67524420331","6587.98693898257","6710.75062298751","7412.96703464311","7682.47538648506","8179.29782812609","7337.56982204938","7103.22643061091","7310.89658895511","7099.97195809928","6952.41936236851","6538.45205387291",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2548.84576396434","1908.64433095543","1822.85907628633","2056.94345335585","2289.30974784048","2665.10903652225","2979.33308993872","2716.69355834805","3020.93057263444","3471.65635908955","3862.48437763265","4301.38282973192","4661.37914319822","4994.92469274671","5423.20168382235","5865.31759085604","6557.80133674236","7274.52468523841","8228.32755984622","8819.51009173416","9636.10870469977","10207.7335023376","10526.3189737173","10570.9681040326","11259.2967004521","11658.8660596051","12078.8007284137","12770.9750370811","13546.4816863125","14230.9895072106","13817.7589656756",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6849.68784098431","7416.9871506563","7818.73076041885","8015.63540198048","8209.61328433185","8343.49714164968","8680.26794340568","8994.51762825397","9398.13585451908","9521.07227205587","10169.5170124467","10333.350953991","10302.6660381392","10696.7616093504","11739.3394058033","12476.4601397661","13288.0917107395","13918.382013482","14660.7935034407","14526.6706794263","15032.6072864209","15520.8023005232","16519.0090575941","16462.8282586573","16163.9618032254","14499.8951175842","14000.747939601","14547.3909792265","14978.3457375935","15236.0616629335","14527.0450893456",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87226.3007389525","85847.0561166486","85624.8640941406","83847.8578673871","86706.600558781","89724.1549664639","91943.318420525","96180.0082194511","92627.8658860804","91710.5455531882","98363.5743842064","96722.5085221705","95550.1899129135","99238.3630768923","101871.334134763","97670.0574611991","95678.3177471497","87101.5701317481","79730.9603586962","68166.4788483792","64881.7805747146","67686.3853798798","69102.4761704654","70374.2353627555","73619.0446557068","64901.8800512352","63968.8880391711","67183.6053111678","68576.1155204355","69957.6180753398","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7195.69210552205","8005.46507387724","8719.10324161244","9532.89094089847","10175.1260081628","9969.60117114925","10586.1099729934","11507.8954146611","11949.4186592024","11581.8905140722","11618.7932334926","11226.8797464943","10052.4882560869","11025.1860988296","12214.7407113551","13568.7692061284","14951.7289508076","16570.0078336983","17404.0691420333","16334.7408131075","18061.9343589164","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.117752839","23305.847419406","22996.9855202977","20767.6105001703",
