"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","227.253","223.17","219.087","215.33","211.574","207.817","204.061","200.304","197.676","195.048","192.42","189.792","187.164","183.914","180.663","177.413","174.163","170.913","166.633","162.353","158.073","153.793","149.513","148.759","148.004","147.25","146.495","145.741","144.988","144.235","143.482","142.729","141.976","141.725","141.475","141.225","140.974","140.724","139.937","139.15","138.363","137.576","136.789","135.137","133.485","131.832","130.18","128.527","126.884","125.241","123.598","121.954","120.311","118.655","116.999","115.343","113.686","112.03","110.63","109.044","",
"Africa Eastern and Southern","AFE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","457.587780438516","452.580451111784","447.60402602908","443.349262862328","439.079288488555","434.777395615084","430.394198229973","425.996518045463","423.229575008131","420.471519809412","417.737089712216","415.052611104815","412.388094245164","410.217738143907","408.075209562174","405.952497779331","403.820481519007","401.698197457597","400.946607268214","400.139503797187","399.277101412796","398.333514682348","397.372575225501","397.683421767147","398.036252277691","398.435526606532","398.796569578729","399.222921578209","404.918431981397","410.709862713277","416.50905278683","422.043232740741","427.341804843096","432.222935655062","437.339702758522","442.669264616834","448.091778889976","453.543457185893","454.453992309266","455.320065490898","456.124861589016","456.761285995491","457.292433353547","445.066480258752","432.805677022539","420.514651878949","408.251381596801","395.923700733877","382.271982074971","368.679025804998","355.143245735771","341.618018988287","328.153688121147","319.591119648832","311.088784018707","302.648323836554","294.2809826351","285.970988059788","288.793501864466","284.953882043538","",
"Afghanistan","AFG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","604.597","598.908","593.219","587.752","582.284","576.817","571.35","565.882","560.333","554.784","549.236","543.687","538.138","531.889","525.64","519.391","513.142","506.893","499.246","491.599","483.952","476.305","468.658","459.362","450.067","440.771","431.475","422.18","413.482","404.784","396.086","387.388","378.69","373.407","368.125","362.842","357.559","352.277","346.143","340.009","333.875","327.741","321.607","314.533","307.459","300.386","293.312","286.238","281.258","276.279","271.299","266.32","261.34","257.135","252.93","248.724","244.519","240.314","237.554","233.884","",
"Africa Western and Central","AFW","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","509.430630405534","504.390805222294","499.327582191495","494.634047051392","489.98752479136","485.399110430082","480.840177233333","476.332569413945","470.911093020702","465.492142457314","460.06323286281","454.566693966586","449.070316550298","443.03729750359","437.018868357171","431.02323334764","425.071921604755","419.148166759186","413.873888636629","408.60750881783","403.33470347883","397.977240226383","392.610091692724","390.01781961429","387.430767644346","384.865020408733","382.334521074173","379.832866829416","379.874415745955","379.91126416239","379.926754983499","379.882068449181","379.801553238357","382.485201405397","385.195103863623","387.927383999614","390.649693656139","393.374569954398","394.609615827983","395.875555379263","397.155520622398","398.38900574664","399.59642517717","393.501593484114","387.402948922662","381.299393342194","375.15867862233","369.017482362971","365.22570623409","361.443052906628","357.6716849221","353.91654734313","350.170318152347","345.950142956653","341.751158731559","337.572375720247","333.374510117186","329.192041973707","323.335193713976","319.988584918498","",
"Angola","AGO","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","561.897","558.226","554.556","549.975","545.395","540.814","536.234","531.653","526.909","522.165","517.421","512.676","507.932","503.498","499.065","494.631","490.197","485.763","484.378","482.993","481.607","480.222","478.837","477.686","476.535","475.385","474.234","473.083","471.936","470.789","469.641","468.494","467.347","461.699","456.052","450.405","444.757","439.11","428.812","418.515","408.217","397.919","387.622","376.772","365.922","355.073","344.223","333.373","324.524","315.675","306.825","297.976","289.127","285.989","282.85","279.712","276.573","273.435","327.044","323.091","",
"Albania","ALB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","160.48","150.942","141.405","143.06","144.716","146.372","148.027","149.683","152.04","154.398","156.756","159.113","161.471","158.009","154.547","151.085","147.623","144.162","143.457","142.752","142.048","141.343","140.639","139.531","138.422","137.314","136.206","135.098","137.983","140.867","143.752","146.637","149.521","147.646","145.771","143.896","142.021","140.146","134.877","129.608","124.34","119.071","113.802","112.225","110.647","109.069","107.492","105.914","106.004","106.094","106.184","106.273","106.363","103.981","101.598","99.215","96.833","94.45","93.315","92.179","",
"Andorra","AND","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","359.711657923677","355.145786527276","350.497613377529","345.657537540669","340.82110333669","336.012620625897","331.23659178593","326.511413802749","321.968943788657","317.407763588991","312.814753914587","308.143455254787","303.42983587805","298.79394444288","294.285598249193","289.933833982042","285.834037089169","281.868306788293","280.695272807254","279.366451841797","277.834721535934","275.87977207189","273.710225153799","266.747381303808","259.794344539666","252.891676711237","246.043560522703","239.241401977939","235.7520784304","232.330293036119","228.705557156588","225.36364744171","223.329587400545","220.116252329081","216.947333272074","212.874699419766","209.738708060786","206.613394432112","203.87967023095","201.173734585698","198.482057218531","195.618790536056","192.774639742733","189.960893100837","187.079571282975","184.099416772948","180.820215664339","177.471086679896","175.319529456271","173.340993219748","171.526242363649","169.798135978435","168.01772200181","165.945580277896","163.979010292862","162.106929620183","160.262439760934","158.511351328581","153.912560526827","151.77419057386","",
"United Arab Emirates","ARE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","328.373","318.924","309.474","301.397","293.32","285.243","277.166","269.089","262.194","255.3","248.405","241.51","234.615","228.707","222.8","216.892","210.984","205.076","199.987","194.898","189.809","184.72","179.631","175.219","170.807","166.395","161.984","157.572","153.714","149.857","146","142.142","138.285","134.799","131.312","127.826","124.34","120.854","117.758","114.662","111.566","108.47","105.374","102.665","99.955","97.245","94.535","91.826","90.298","88.77","87.243","85.715","84.187","82.963","81.739","80.514","79.29","78.066","69.555","68.616","",
"Argentina","ARG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","255.069","252.62","250.171","250.957","251.743","252.529","253.315","254.101","251.867","249.633","247.399","245.165","242.931","240.732","238.533","236.335","234.136","231.938","229.146","226.354","223.561","220.769","217.977","216.894","215.81","214.727","213.643","212.559","209.899","207.238","204.577","201.917","199.256","196.966","194.675","192.384","190.093","187.803","185.654","183.504","181.355","179.206","177.056","175.041","173.026","171.011","168.996","166.981","165.094","163.206","161.318","159.43","157.542","155.775","154.008","152.24","150.473","148.705","147.086","145.466","",
