"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","130388000","151149000","149566000","231126000","270155000","334854000","396838000","448022000","478100000","517802000","461497000","428176000","578007000","593161000","554172000","700601000","746906000","700915000","722775000","675555000","757019000","858988000","1429124000","1576887000","1472522000","1493405000","1563051000","1216029000","1289640000","1611022000","1892421000","1824166000","1917887000","1928044000","2353836000",
"Africa Eastern and Southern","AFE","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","817000000","682000000","1901000000","1648000000","1881000000","1641000000","1498000000","1077000000","1143092304.92188","1437493461.4375","2288233403.45313","2550475761.46875","3032389756.46875","3614573954.48438","6748051845.95313","9582834844.5","16667433588.5","20106708078.875","21915226509","39353160286.125","44336215668","39505806722.7473","","25661528057.6354","22136334740.9128","17763152851.2463","25090907313.8982","25678118192.0606","20202349519.8055","3856896159.6296","","","","","","","","","","","","","","","","103826593510.626","147079553704.013","172783865487.518","214828922326.813","248098785003.267","338126323481.637","428038588436.325","472282591787.918","500179635486.138","545987529788.036","582766040486.691","651218737337.799","737860932263.592","790413851829.57","871656191935.557",
"Africa Western and Central","AFW","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7611172.12739907","135920959.131068","200101483.363888","168039753.998299","5768914826.14511","30520014540.0519","40414519652.9791","78895935767.5096","106824056203.86","151413220074.126","386785365401.686","891290892981.901","1022738046408.35","1509140912869.18","1149472788992.08","1731026190716.53","2927440616913.64","3165722382430.37","3115369450913.87","3097464364404.93","3570440897918.48","3856955661114.11","2642692411643.71","4218121505107.23","7029588595487.96","7308649466136.02",
"Albania","ALB","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-21629413795.6946","35443315096.0691","54424371563.4161","68297294555.3213","83030726075.0696","100070450902.137","130080322627.08","157270000000","164323898702.29","161812641078.739","188807245450.912","210787008285.198","233227456087.322","232443325345.253","206635854264.467","244388336662.246","339374729126.369","389025936838.888","451173898914.781","478910256532.322","524487126241.162","614841156645.895","655908394778.172","653746754779.323","680624716479.6","691446538021.481","746995285850.37",
"Andorra","AND","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","1524029178.5742","5481251146.06265","9615417104.82261","14866210220.9447","2080184922.37384","2238657745.74555","3369772325.18759","9844689772.19878","18732522648.5067","21619606584.3451","20394773674.3755","34503784370.6451","38784246748.5408","46227349601.2973","48946200962.086","51360331770.301","56568290134.7888","55342186880.538","63846217705.7958","62897040071.25","62407615359.7746","57307255966.9967","63719648269.4811","63449379749.4302","62239221336.4552","62440234442.5684","66883042641.6887","87914057289.2472","120407132672.32","138259724051.053","136402160009.402","151788660074.591","166648354616.825","155488599471.026","160324480505.067","14114151230.5676","43368125426.5921","78450023936.6638","89715385390.514","159005959623.931","243318348306.116","282606588691.218","246404856511.392","258819019470.73","328285207096.532","418098540445.165","485330917716.094","514516257637.099",
"Argentina","ARG","Net foreign assets (current LCU)","FM.AST.NFRG.CN","0.0022","0.0006","-0.0029","-0.0009","-0.0007","0.0012","0.0029","0.0147","0.0181","0.016044","0.028011999992997","0.011384999997723","0.011034999997793","0.04524999999095","0.050794999989841","0.057901634999049","1.35328499999507","17.4260875","61.946055","170.971866","155.0105225","-340.771456","-1519.63643","-12526.966440124","-73207.1469","-502490.45","-966001.65","-4524042.5","-15532047.8","","-4413000000","-6145000000","2537000000","7877000000","5951066493.157","2037238350.24166","7185335087.7414","13193439128.424","15813378415.0359","14583698967.7637","15195104836.7949","-8178428654.2627","-45077838378.5219","-23869597395.7841","1939015404.1734","46907305928.2198","90288304604.4518","140216187484.852","157160009999.416","168715099164.168","194799554663.011","181074541484.851","199567504827.204","177026669554.475","241758345230.253","292148557554.879","602116558145.921","964790171523.015","","","",
