,Table 1. Human Development Index and its components ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SDG3,,SDG4.3,,SDG4.4,,SDG8.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI) ,,Life expectancy at birth,,Expected years of schooling,,Mean years of schooling,,Gross national income (GNI) per capita,,GNI per capita rank minus HDI rank,,HDI rank,,,,,,,,,,,,
HDI rank,Country,Value,,(years),,(years),,(years),,(2017 PPP $),,,,,,,,,,,,,,,,
,,2019,,2019,,2019,a,2019,a,2019,,2019,,2018,,,,,,,,,,,,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,0.957,,82.4,,18.1,b,12.9,,"66,494",,7,,1,,,,,,,,,,,,
2,Ireland,0.955,,82.3,,18.7,b,12.7,,"68,371",,4,,3,,,,,,,,,,,,
2,Switzerland,0.955,,83.8,,16.3,,13.4,,"69,394",,3,,2,,,,,,,,,,,,
4,"Hong Kong, China (SAR)",0.949,,84.9,,16.9,,12.3,,"62,985",,7,,4,,,,,,,,,,,,
4,Iceland,0.949,,83.0,,19.1,b,12.8,c,"54,682",,14,,4,,,,,,,,,,,,
6,Germany,0.947,,81.3,,17.0,,14.2,,"55,314",,11,,4,,,,,,,,,,,,
7,Sweden,0.945,,82.8,,19.5,b,12.5,,"54,508",,12,,7,,,,,,,,,,,,
8,Australia,0.944,,83.4,,22.0,b,12.7,c,"48,085",,15,,7,,,,,,,,,,,,
8,Netherlands,0.944,,82.3,,18.5,b,12.4,,"57,707",,6,,9,,,,,,,,,,,,
10,Denmark,0.940,,80.9,,18.9,b,12.6,c,"58,662",,2,,10,,,,,,,,,,,,
11,Finland,0.938,,81.9,,19.4,b,12.8,,"48,511",,11,,11,,,,,,,,,,,,
11,Singapore,0.938,,83.6,,16.4,,11.6,,"88,155",d,-8,,12,,,,,,,,,,,,
13,United Kingdom,0.932,,81.3,,17.5,,13.2,,"46,071",,13,,14,,,,,,,,,,,,
14,Belgium,0.931,,81.6,,19.8,b,12.1,e,"52,085",,6,,13,,,,,,,,,,,,
14,New Zealand,0.931,,82.3,,18.8,b,12.8,c,"40,799",,18,,14,,,,,,,,,,,,
16,Canada,0.929,,82.4,,16.2,,13.4,c,"48,527",,5,,14,,,,,,,,,,,,
17,United States,0.926,,78.9,,16.3,,13.4,,"63,826",,-7,,17,,,,,,,,,,,,
18,Austria,0.922,,81.5,,16.1,,12.5,c,"56,197",,-3,,18,,,,,,,,,,,,
19,Israel,0.919,,83.0,,16.2,,13.0,,"40,187",,14,,21,,,,,,,,,,,,
19,Japan,0.919,,84.6,,15.2,,12.9,f,"42,932",,9,,20,,,,,,,,,,,,
19,Liechtenstein,0.919,,80.7,g,14.9,,12.5,h,"131,032","d,i",-18,,19,,,,,,,,,,,,
22,Slovenia,0.917,,81.3,,17.6,,12.7,,"38,080",,15,,24,,,,,,,,,,,,
23,Korea (Republic of),0.916,,83.0,,16.5,,12.2,,"43,044",,4,,22,,,,,,,,,,,,
23,Luxembourg,0.916,,82.3,,14.3,,12.3,e,"72,712",,-19,,23,,,,,,,,,,,,
25,Spain,0.904,,83.6,,17.6,,10.3,,"40,975",,6,,25,,,,,,,,,,,,
26,France,0.901,,82.7,,15.6,,11.5,,"47,173",,-1,,26,,,,,,,,,,,,
27,Czechia,0.900,,79.4,,16.8,,12.7,c,"38,109",,9,,26,,,,,,,,,,,,
28,Malta,0.895,,82.5,,16.1,,11.3,,"39,555",,6,,28,,,,,,,,,,,,
29,Estonia,0.892,,78.8,,16.0,,13.1,c,"36,019",,9,,30,,,,,,,,,,,,
29,Italy,0.892,,83.5,,16.1,,10.4,j,"42,776",,0,,29,,,,,,,,,,,,
31,United Arab Emirates,0.890,,78.0,,14.3,,12.1,,"67,462",,-24,,30,,,,,,,,,,,,
32,Greece,0.888,,82.2,,17.9,,10.6,,"30,155",,14,,33,,,,,,,,,,,,
33,Cyprus,0.887,,81.0,,15.2,,12.2,,"38,207",,2,,32,,,,,,,,,,,,
34,Lithuania,0.882,,75.9,,16.6,,13.1,,"35,799",,5,,35,,,,,,,,,,,,
35,Poland,0.880,,78.7,,16.3,,12.5,e,"31,623",,8,,34,,,,,,,,,,,,
36,Andorra,0.868,,81.9,g,13.3,k,10.5,,"56,000",l,-20,,36,,,,,,,,,,,,
37,Latvia,0.866,,75.3,,16.2,,13.0,c,"30,282",,8,,37,,,,,,,,,,,,
38,Portugal,0.864,,82.1,,16.5,,9.3,,"33,967",,2,,38,,,,,,,,,,,,
39,Slovakia,0.860,,77.5,,14.5,,12.7,c,"32,113",,3,,39,,,,,,,,,,,,
40,Hungary,0.854,,76.9,,15.2,,12.0,,"31,329",,4,,42,,,,,,,,,,,,
40,Saudi Arabia,0.854,,75.1,,16.1,,10.2,,"47,495",,-16,,40,,,,,,,,,,,,
42,Bahrain,0.852,,77.3,,16.3,,9.5,,"42,522",,-12,,41,,,,,,,,,,,,
43,Chile,0.851,,80.2,,16.4,,10.6,,"23,261",,16,,43,,,,,,,,,,,,
43,Croatia,0.851,,78.5,,15.2,,11.4,e,"28,070",,6,,44,,,,,,,,,,,,
45,Qatar,0.848,,80.2,,12.0,,9.7,,"92,418",d,-43,,45,,,,,,,,,,,,
46,Argentina,0.845,,76.7,,17.7,,10.9,c,"21,190",,16,,46,,,,,,,,,,,,
47,Brunei Darussalam,0.838,,75.9,,14.3,,9.1,f,"63,965",,-38,,47,,,,,,,,,,,,
48,Montenegro,0.829,,76.9,,15.0,,11.6,m,"21,399",,13,,48,,,,,,,,,,,,
49,Romania,0.828,,76.1,,14.3,,11.1,,"29,497",,-1,,49,,,,,,,,,,,,
50,Palau,0.826,,73.9,g,15.8,j,12.5,j,"19,317",,15,,52,,,,,,,,,,,,
51,Kazakhstan,0.825,,73.6,,15.6,,11.9,j,"22,857",,9,,53,,,,,,,,,,,,
52,Russian Federation,0.824,,72.6,,15.0,,12.2,j,"26,157",,2,,49,,,,,,,,,,,,
53,Belarus,0.823,,74.8,,15.4,,12.3,m,"18,546",,14,,49,,,,,,,,,,,,
54,Turkey,0.820,,77.7,,16.6,c,8.1,,"27,701",,-4,,54,,,,,,,,,,,,
55,Uruguay,0.817,,77.9,,16.8,,8.9,,"20,064",,9,,56,,,,,,,,,,,,
56,Bulgaria,0.816,,75.1,,14.4,,11.4,,"23,325",,2,,55,,,,,,,,,,,,
57,Panama,0.815,,78.5,,12.9,,10.2,f,"29,558",,-10,,58,,,,,,,,,,,,
58,Bahamas,0.814,,73.9,,12.9,n,11.4,j,"33,747",,-17,,58,,,,,,,,,,,,
58,Barbados,0.814,,79.2,,15.4,,10.6,o,"14,936",,20,,60,,,,,,,,,,,,
60,Oman,0.813,,77.9,,14.2,,9.7,j,"25,944",,-5,,56,,,,,,,,,,,,
