"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Afghanistan",2012,0.59,2.92056601,5.38,107.23431,9.278314,64673.3162673459,0.498
"Albania",2012,3.07,2.7357041,1.69,323.97995,1.327218,23802.2499479418,0.785
"Algeria",2012,4.7,4.52025089,2.94,206.84682,3.009299,25945.050568995,0.754
"Angola",2012,1.66,2.1373165,6,28.629263,12.41311,59072.1081519119,0.581
"Antigua and Barbuda",2012,5.71,3.65233263,2.1,250.29317,1.098271,24730.2408809586,0.78
"Argentina",2012,9.03,2.95895087,2.35,233.66628,1.566808,25594.4746250356,0.825
"Armenia",2012,4.27,1.87568154,1.73,366.04401,1.82674,26575.254161115,0.755
"Australia",2012,33.49,6.28563327,1.9,755.9303,0.52957,18929.9302654541,0.939
"Austria",2012,10.73,8.41718956,1.46,837.18121,0.499631,19487.3364798368,0.908
"Azerbaijan",2012,6.08,1.2105966,2.05,609.69916,3.559894,36703.4888685177,0.757
"Bahamas",2012,13.08,3.29824927,1.83,519.42609,1.297,29453.5362711946,0.807
"Bahrain",2012,25.26,2.76266224,2.09,459.22482,1.00832,22463.83316784,0.846
"Bangladesh",2012,1.18,0.98448372,2.21,51.110317,5.115556,37306.2640024437,0.608
"Barbados",2012,5.47,4.84151341,1.79,501.07297,1.61692,23850.3366936626,0.8
"Belarus",2012,11.59,3.8657579,1.62,270.06406,0.669088,31678.2085983333,0.808
"Belgium",2012,11.99,8.18629897,1.8,775.08112,0.52957,20686.3118661361,0.916
"Belize",2012,4.66,3.57774343,2.64,106.31464,2.104126,30149.3810524739,0.708
"Benin",2012,3.45,2.15409384,5.25,32.992195,13.30933,56394.1322535378,0.515
"Bhutan",2012,4.38,2.70086093,2.24,48.578403,4.656472,32105.7866265043,0.612
"Bolivia",2012,60.72,3.77236617,3.07,98.926842,4.880882,33668.3365320276,0.693
"Bosnia and Herzegovina",2012,7.43,7.08021227,1.31,281.9682,0.779208,24290.3837806302,0.768
"Botswana",2012,39.3,3.95538221,2.86,46.535763,5.28688,52833.7521716752,0.717
"Brazil",2012,14.91,3.66135204,1.78,353.55551,2.005156,29313.2529018432,0.759
"Brunei",2012,37.1,2.11253245,1.87,136.80894,1.28748,26046.5091741029,0.853
