"year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
2013,4.6,2.34,2.73502201,1992.282227,24,1.497079,NA
2012,4.6,2.35,2.95895087,1941.263306,24,1.566808,0.825
2011,4.6,2.36,3.74539251,1863.78125,27,1.636525,0.822
2010,4.6,2.37,4.16348234,1745.168091,21,1.70623,0.822
2009,NA,2.38,5.0407858,1584.199829,NA,1.7561,0.82
2008,NA,2.4,4.12109735,1460.62207,NA,1.805842,0.82
2007,NA,2.41,3.78307484,1331.457764,NA,1.835761,0.818
2006,NA,2.43,3.65486893,1171.639038,NA,1.885492,0.819
2005,4.2,2.45,3.66423385,1059.157471,31,1.915545,0.813
2004,NA,2.47,3.52239676,905.5946045,NA,1.96541,0.799
2003,NA,2.5,4.25102319,871.6620483,NA,2.025248,0.795
2002,NA,2.52,4.45294005,852.2592773,NA,2.104876,0.792
2001,NA,2.54,5.06593399,1077.795166,NA,2.17468,0.787
2000,3.8,2.56,4.96580358,1095.196899,37,2.254456,0.782
1999,NA,2.59,5.15231569,NA,NA,2.344026,0.78
1998,NA,2.62,4.62421172,NA,NA,2.433765,0.775
1997,NA,2.66,4.5530443,NA,NA,2.53328,0.769
1996,NA,2.71,4.63164122,NA,NA,2.63298,0.776
1995,3.7,2.76,4.96644308,NA,NA,2.742436,0.771
1994,NA,2.82,NA,NA,NA,2.852095,0.764
1993,NA,2.87,NA,NA,NA,2.96152,0.753
1992,NA,2.91,NA,NA,NA,3.080892,0.746
1991,NA,2.95,NA,NA,NA,3.150661,0.738
1990,3.4,2.99,NA,NA,NA,3.210208,0.731
1989,NA,3.02,NA,NA,NA,3.23985,0.728
1988,NA,3.04,NA,NA,NA,3.249815,0.725
1987,NA,3.06,NA,NA,NA,3.279452,0.72
1986,NA,3.07,NA,NA,NA,3.348937,0.713
1985,NA,3.09,NA,NA,NA,3.487871,0.704
1984,NA,3.12,NA,NA,NA,3.666593,NA
1983,NA,3.16,NA,NA,NA,3.875426,NA
1982,NA,3.21,NA,NA,NA,4.143632,NA
1981,NA,3.27,NA,NA,NA,4.451554,NA
1980,NA,3.33,NA,NA,NA,4.80912,0.694
1979,NA,3.37,NA,NA,NA,5.2163,NA
1978,NA,3.39,NA,NA,NA,5.663116,NA
1977,NA,3.39,NA,NA,NA,6.129652,NA
1976,NA,3.37,NA,NA,NA,6.566176,NA
1975,NA,3.32,NA,NA,NA,6.932938,0.675
1974,NA,3.26,NA,NA,NA,7.22004,NA
1973,NA,3.2,NA,NA,NA,7.457344,NA
1972,NA,3.15,NA,NA,NA,7.625008,NA
1971,NA,3.1,NA,NA,NA,7.76281,NA
1970,NA,3.07,NA,NA,NA,7.860836,NA
1969,NA,3.06,NA,NA,NA,7.95883,NA
1968,NA,3.05,NA,NA,NA,NA,NA
1967,NA,3.05,NA,NA,NA,NA,NA
1966,NA,3.05,NA,NA,NA,NA,NA
1965,NA,3.06,NA,NA,NA,NA,NA
1964,NA,3.07,NA,NA,NA,NA,NA
1963,NA,3.08,NA,NA,NA,NA,NA
1962,NA,3.09,NA,NA,NA,NA,NA
1961,NA,3.1,NA,NA,NA,NA,NA
1960,NA,3.11,NA,NA,NA,NA,NA
1959,NA,3.12,NA,NA,NA,NA,NA
1958,NA,3.12,NA,NA,NA,NA,NA
1957,NA,3.13,NA,NA,NA,NA,NA
1956,NA,3.14,NA,NA,NA,NA,NA
1955,NA,3.14,NA,NA,NA,NA,NA
1954,NA,3.15,NA,NA,NA,NA,NA
1953,NA,3.15,NA,NA,NA,NA,NA
1952,NA,3.16,NA,NA,NA,NA,NA
1951,NA,3.16,NA,NA,NA,NA,NA
1950,NA,3.16,NA,NA,NA,NA,NA
1949,NA,3.18,NA,NA,NA,NA,NA
1948,NA,3.19,NA,NA,NA,NA,NA
1947,NA,3.2,NA,NA,NA,NA,NA
1946,NA,3.24,NA,NA,NA,NA,NA
1945,NA,3.29,NA,NA,NA,NA,NA
1944,NA,3.33,NA,NA,NA,NA,NA
1943,NA,3.37,NA,NA,NA,NA,NA
1942,NA,3.42,NA,NA,NA,NA,NA
1941,NA,3.42,NA,NA,NA,NA,NA
1940,NA,3.43,NA,NA,NA,NA,NA
1939,NA,3.43,NA,NA,NA,NA,NA
1938,NA,3.44,NA,NA,NA,NA,NA
1937,NA,3.44,NA,NA,NA,NA,NA
1936,NA,3.53,NA,NA,NA,NA,NA
1935,NA,3.62,NA,NA,NA,NA,NA
1934,NA,3.71,NA,NA,NA,NA,NA
1933,NA,3.8,NA,NA,NA,NA,NA
1932,NA,3.89,NA,NA,NA,NA,NA
1931,NA,3.98,NA,NA,NA,NA,NA
1930,NA,4.07,NA,NA,NA,NA,NA
1929,NA,4.17,NA,NA,NA,NA,NA
1928,NA,4.26,NA,NA,NA,NA,NA
1927,NA,4.36,NA,NA,NA,NA,NA
1926,NA,4.43,NA,NA,NA,NA,NA
1925,NA,4.5,NA,NA,NA,NA,NA
1924,NA,4.57,NA,NA,NA,NA,NA
1923,NA,4.65,NA,NA,NA,NA,NA
1922,NA,4.72,NA,NA,NA,NA,NA
1921,NA,4.79,NA,NA,NA,NA,NA
1920,NA,4.86,NA,NA,NA,NA,NA
1919,NA,4.94,NA,NA,NA,NA,NA
1918,NA,5.01,NA,NA,NA,NA,NA
1917,NA,5.08,NA,NA,NA,NA,NA
1916,NA,5.15,NA,NA,NA,NA,NA
1915,NA,5.23,NA,NA,NA,NA,NA
1914,NA,5.3,NA,NA,NA,NA,NA
1913,NA,5.28,NA,NA,NA,NA,NA
1912,NA,5.25,NA,NA,NA,NA,NA
1911,NA,5.33,NA,NA,NA,NA,NA
1910,NA,5.41,NA,NA,NA,NA,NA
1909,NA,5.49,NA,NA,NA,NA,NA
1908,NA,5.56,NA,NA,NA,NA,NA
1907,NA,5.64,NA,NA,NA,NA,NA
1906,NA,5.7,NA,NA,NA,NA,NA
1905,NA,5.76,NA,NA,NA,NA,NA
1904,NA,5.82,NA,NA,NA,NA,NA
1903,NA,5.88,NA,NA,NA,NA,NA
1902,NA,5.94,NA,NA,NA,NA,NA
1901,NA,5.94,NA,NA,NA,NA,NA
1900,NA,5.95,NA,NA,NA,NA,NA
1899,NA,5.95,NA,NA,NA,NA,NA
1898,NA,5.96,NA,NA,NA,NA,NA
1897,NA,5.96,NA,NA,NA,NA,NA
1896,NA,6.48,NA,NA,NA,NA,NA
1895,NA,7,NA,NA,NA,NA,NA
1894,NA,6.63,NA,NA,NA,NA,NA
1893,NA,6.26,NA,NA,NA,NA,NA
1892,NA,5.9,NA,NA,NA,NA,NA
1891,NA,5.94,NA,NA,NA,NA,NA
1890,NA,5.99,NA,NA,NA,NA,NA
1889,NA,6.04,NA,NA,NA,NA,NA
1888,NA,6.09,NA,NA,NA,NA,NA
1887,NA,6.14,NA,NA,NA,NA,NA
1886,NA,6.22,NA,NA,NA,NA,NA
1885,NA,6.3,NA,NA,NA,NA,NA
1884,NA,6.39,NA,NA,NA,NA,NA
1883,NA,6.47,NA,NA,NA,NA,NA
1882,NA,6.55,NA,NA,NA,NA,NA
1881,NA,6.56,NA,NA,NA,NA,NA
1880,NA,6.56,NA,NA,NA,NA,NA
1879,NA,6.56,NA,NA,NA,NA,NA
1878,NA,6.56,NA,NA,NA,NA,NA
1877,NA,6.57,NA,NA,NA,NA,NA
1876,NA,6.57,NA,NA,NA,NA,NA
1875,NA,6.57,NA,NA,NA,NA,NA
1874,NA,6.57,NA,NA,NA,NA,NA
1873,NA,6.58,NA,NA,NA,NA,NA
1872,NA,6.58,NA,NA,NA,NA,NA
1871,NA,6.65,NA,NA,NA,NA,NA
1870,NA,6.73,NA,NA,NA,NA,NA
1869,NA,6.8,NA,NA,NA,NA,NA
1868,NA,6.8,NA,NA,NA,NA,NA
1867,NA,6.8,NA,NA,NA,NA,NA
1866,NA,6.8,NA,NA,NA,NA,NA
1865,NA,6.8,NA,NA,NA,NA,NA
1864,NA,6.8,NA,NA,NA,NA,NA
1863,NA,6.8,NA,NA,NA,NA,NA
